,2004_180,2004_120,2004_70,2004_201,2004_60,2004_12,2004_20,2004_10,2004_81,2004_80,2004_130,2004_151,2004_61,2004_140,2004_121,2004_210,2004_122,2004_190,2004_153,2004_90,2004_62,2004_40,2004_170,2004_200,2004_82,2004_50,2004_72,2004_202,2004_220,2004_71,2004_110,2004_160,2004_30,2004_150,2004_11,2004_152
23,11397.225995549972,0.0,0.0,0.0,0.0,0.0,0.0,40927.74964047914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322909.0922421384,417830.373866454,0.0,0.0,24426717.64106159,0.0,0.0,0.0,0.0,0.0,0.0,423545.21844634926,0.0,1519.6089624457031,0.0
24,33530740.392406005,95180717.98164172,0.0,37.92964994758813,18730202.88012278,0.0,0.0,7544166.186555564,0.0,0.0,11962886.735532658,0.0,60593.03856223357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217646697.8992078,179494648.0824515,29198754.791787066,113.96347435246457,0.0,7007205422.894238,0.0,0.0,0.0,0.0,98209550.30565175,1632129375.651965,150392147.31548095,378.9038082901235,13259474.734630339,0.0
25,41703854.18844998,35874544.328999765,0.0,75.96401452777476,47790345.84389115,45458.28191464395,29099.210943860646,36552085.83743367,0.0,0.0,5081930.385766228,0.0,5568518.464783581,0.0,0.0,0.0,63162.365105825585,0.0,0.0,0.0,1901994111.399899,161852365.3507496,18119273.91380949,50037.69950770713,0.0,22274693256.756523,0.0,0.0,0.0,0.0,67958379.1531585,473861658.4473387,615886602.2900282,14470.812747732154,34412695.883857675,0.0
26,5503539.37524719,9048584.958271822,0.0,1204.9288107062957,1334.8427299001737,0.0,96303.97793889111,2244190.821578083,0.0,0.0,902198.2003235971,0.0,0.0,0.0,0.0,0.0,834200.5862538769,0.0,0.0,0.0,3270787.834959596,4033398.724211906,20098.740666507812,852.4237434797454,0.0,2669.6141121840283,0.0,0.0,0.0,0.0,159755.2138813772,0.0,3510170.2937106383,0.0,162400.08104415858,0.0
27,2871297.3965423997,4116450.7983019617,0.0,0.0,7105673.73597519,0.0,0.0,2929.727284406286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10419.876745403719,0.0,0.0,0.0,1286223784.3586812,3092049.5030266372,0.0,37.79919049502074,0.0,249557462.65483633,0.0,0.0,0.0,0.0,44868807.928740606,369853.09905899875,201514.88357697212,0.0,0.0,0.0
28,60245.68459804809,1200151.4403132212,0.0,0.0,2703292.4317902215,0.0,0.0,12812.353006064724,0.0,0.0,0.0,0.0,128093.6799432135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32015739.142966896,482275.3227227636,0.0,0.0,0.0,1331326.008232704,0.0,0.0,0.0,0.0,0.0,18834.24330414135,11298.760743565539,0.0,0.0,0.0
29,0.0,15366921.474823836,85252.41609420603,334421.8771349969,600090.5753028635,712.3395709886188,9579.736016334155,3334257.9449201147,0.0,0.0,125.00870086072533,0.0,0.0,0.0,0.0,0.0,507689.09258362994,0.0,5097367.224585519,0.0,0.0,2000047.6029930797,0.0,5276651.723874084,0.0,0.0,0.0,0.0,0.0,0.0,130778.98362991378,0.0,1508771.2898966623,720066.8701075827,2073201.473262602,0.0
30,3374914.130550219,16509817.234485485,0.0,50149.409711662105,3443299.1033850815,0.0,123752.83912142979,263748.0307731084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6214.166582753642,0.0,36879.69284302384,0.0,18440436.18356291,29664.322034254492,22875.450998065397,25140836.759918973,0.0,0.0,0.0,270787.97255317925,0.0,0.0,57613.209073015205,0.0,485138.12480412587,8365753.881272309,8216756.458516782,0.0
31,47845.41757934549,3860514.1162578887,0.0,17220.20678857642,0.0,0.0,281006.1837180782,22146.264064551146,0.0,0.0,47213.469611863526,178.9676697246335,0.0,0.0,0.0,0.0,0.0,0.0,1183.6825053808836,0.0,0.0,11004.618333139757,10321.633346956598,40687793.7537176,0.0,1117588.8563186633,0.0,66913.91064037435,0.0,0.0,131035.32298016408,0.0,4533.063067697917,1572176.620887634,294225.03139466565,14855.875478254098
32,47589.95799816522,6641922.083911211,734770.9770636747,633191.4177260298,34112994.24165961,5076.314797737872,66645.5744916722,24474985.71706669,0.0,0.0,7662.928442203705,0.0,0.0,0.0,0.0,0.0,52674.7477795206,0.0,5078953.602913893,0.0,0.0,2307834.5099069914,20502.962166899888,17122759.88296313,0.0,3229369.863045061,0.0,0.0,0.0,0.0,177845.26799021964,0.0,3050266.35338047,929067.6277873024,20369839.98559779,0.0
33,2940432.4711976396,1621781.323972419,0.0,6401.054444961034,0.0,0.0,0.0,0.0,0.0,0.0,3457.7401121762155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.96417653071956,0.0,0.0,0.0,2516.2563519409723,6542384.537686832,0.0,0.0,0.0,6473.98248074002,0.0,0.0,0.0,0.0,0.0,818469.7237805978,747.0490999134357,5468.6110939619975
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060903.8321378133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,18997938.323851943,46712547.68503935,0.0,0.0,5069536.204289344,0.0,0.0,786587.8086359734,0.0,0.0,1837954.7565983701,0.0,0.0,0.0,0.0,0.0,1536624.5576016596,0.0,0.0,0.0,59264675.721733265,454980.95990028046,0.0,108.61647461130403,0.0,0.0,0.0,0.0,0.0,0.0,2102095.666682646,0.0,6715291.185039923,0.0,45599.275718385536,0.0
36,476005.44849224546,15976482.737364395,0.0,0.0,22359835.249075547,1200.2558251367186,3729.813546774812,3669367.0265762974,0.0,0.0,2389263.857192349,0.0,1282036.6877485018,0.0,0.0,0.0,147629.8652014216,0.0,0.0,0.0,51919552.3528724,1213727.1220087563,271352.61560038256,51663.50608673183,0.0,3118133.794092321,0.0,0.0,0.0,0.0,144464.40321620175,1231.0405838819443,1690757.4058323659,1342.8628996012974,2147055.245459881,0.0
