,2009_100,2009_20,2009_11,2009_152,2009_130,2009_160,2009_40,2009_201,2009_60,2009_210,2009_220,2009_10,2009_81,2009_110,2009_61,2009_90,2009_150,2009_71,2009_121,2009_50,2009_82,2009_200,2009_190,2009_70,2009_30,2009_151,2009_120,2009_140
171,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
172,7942109.930656605,0.0,13926930.129803797,0.0,1784889.9792171896,0.0,308563.97339361964,2390.4619132782123,70051771.68807611,0.0,0.0,3960216.726695345,0.0,99005.0696733915,516351.603014473,36699632.56620004,8603.672918050132,0.0,0.0,0.0,0.0,4643.335668886189,0.0,53238686.14587472,7139746.949070033,0.0,0.0,0.0
173,11019935.85133145,935714.5216014693,23648054.242578954,0.0,1619804.6401046212,0.0,13198708.841606477,17933.54463586487,165199855.0051745,0.0,0.0,25358606.40967901,0.0,83651.04148915963,1523592.8423551265,20434661.89802318,60270.175186309476,0.0,0.0,0.0,0.0,95732.08515154164,0.0,58472961.49536266,13766014.373224229,0.0,478231.6212994007,0.0
174,208758.68782079805,0.0,49127.56773387418,0.0,373149.5661451291,0.0,61151.331435042965,0.0,0.0,0.0,0.0,1623.1898982552084,0.0,542717.3390763573,0.0,0.0,33.67386400434028,0.0,0.0,0.0,0.0,1885.959518980951,0.0,559356.8800726559,85548.19940449193,0.0,0.0,0.0
175,3075127.2714499836,0.0,10749.79011842183,37644.78978840094,47095.757851463946,18620.742159646943,25227.77533892167,2514.268349837769,12227390.968074998,0.0,0.0,3329.9192662651913,0.0,3519239.4618532136,0.0,113815.15028164748,3830985.435090169,0.0,0.0,0.0,0.0,460955.0111245949,0.0,7158429.669367355,70116.24761956562,0.0,57398.844161446534,38493.3667906456
176,6624.346954464651,0.0,17784.86691862823,0.0,6186.687972807003,0.0,1766.994933428651,0.0,858.8868180280671,0.0,0.0,3974.153479419126,0.0,0.0,0.0,0.0,0.0,11809.241453554641,0.0,0.0,0.0,0.0,0.0,23610.668239190203,121490.84562880716,0.0,0.0,0.0
177,6078866.717380587,0.0,12478.786355828028,10514.76248532051,5377.896188353974,7966.110727517217,200002.47920168613,0.0,2560171.978899825,0.0,0.0,322063.27371563716,0.0,1085547.1227932866,0.0,7288650.645848501,223768.98927652315,0.0,0.0,0.0,0.0,463.65027283400855,0.0,163227345.90940452,51020.50130589293,0.0,6881.595092534432,0.0
178,82089.65756139049,0.0,23243.69974004799,0.0,608965.8694645368,0.0,147.26839876750577,0.0,0.0,0.0,0.0,1981.544375301167,0.0,95676.3258645112,0.0,0.0,22904.51263697078,0.0,642.979547286169,0.0,0.0,1241.281539242525,0.0,300043.6640382914,6305.837872545935,0.0,33998.73870794604,0.0
179,4124225.2332642633,0.0,12179392.15762137,0.0,2723272.4046236183,0.0,467827.6263668633,0.0,13991577.646423068,0.0,0.0,14675518.156268729,0.0,1756.393322987305,30326.786895905483,17206502.9540004,2327.3056615430773,421.89296350477434,0.0,0.0,0.0,770.9922221236498,0.0,20182810.0022167,13719707.66449456,0.0,0.0,0.0
180,5868856.395910516,0.0,5290614.732460035,0.0,4291509.3877308685,0.0,510941.48499731754,0.0,30737354.92697278,0.0,0.0,7899656.760437733,0.0,25235.66479877149,151453.2464983733,30853684.08180611,613.6119183023004,0.0,0.0,0.0,0.0,156.10818616227817,0.0,27411546.40309991,7836083.290730792,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.69210248649692,0.0,0.0,0.0,0.0,490.02398678206987,0.0,0.0,0.0,0.0,0.0,0.0
182,18526064.48657534,0.0,3114905.0518684844,0.0,52627976.25756791,0.0,2788952.1766532003,541.8120321836902,1033255.4070354095,0.0,0.0,12420.038600433787,0.0,18475251.643404365,0.0,23722.99448103313,137397.18410685455,0.0,0.0,0.0,0.0,47836.37901879232,0.0,36996345.46178228,13842490.28782901,0.0,1366.4009180183334,0.0
183,2007.7714497515915,0.0,0.0,0.0,987782.4158923122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649932.0214267713,0.0,0.0,509394.8444216517,0.0,0.0,0.0,0.0,38079.30421266653,0.0,0.0,0.0,0.0,680.7250065590277,78803.37169027579
184,3992.8078386541524,0.0,32887.03578539111,0.0,2625.781359138889,0.0,1332.0457322277923,0.0,0.0,0.0,0.0,4188.11672941792,0.0,1774.3098905099587,0.0,0.0,0.0,913.501610053723,0.0,0.0,0.0,0.0,0.0,6387.869359053338,395919.4784066057,0.0,0.0,0.0
185,159409.91431969742,0.0,1396961.543079099,0.0,299199.279755095,0.0,293848.6543210957,0.0,88957.5782796127,0.0,0.0,4405.142690005787,0.0,127098.15346641021,0.0,110132.42217238128,3631.864207673756,0.0,0.0,0.0,0.0,1495.1131542440683,0.0,427449.95573286404,741805.4647988176,0.0,0.0,0.0
186,3807685.6505007427,0.0,47817.47503891565,16857.77172541619,688.0544935123457,4271.51465634896,657630.8442924548,0.0,2127868.504330356,0.0,0.0,274002.1784104191,0.0,21442.958997035374,0.0,19892528.619061507,28186.546331446465,0.0,0.0,0.0,0.0,2400.7587689113143,0.0,117485304.99893713,847667.0975742709,0.0,4418.696966080729,0.0
187,3881323.5514166406,0.0,2341298.838448123,1641.845588225152,2026567.4542596405,671.6751262128907,664073.3561350909,185.61227641401427,17755932.834770385,0.0,0.0,5118525.109490275,0.0,25338.240107093752,462730.95198924735,27451478.281033494,8735.748138482424,263.9815071023341,0.0,0.0,0.0,2171.4765897659145,0.0,18938256.827293348,4718233.171873887,0.0,2322.3339529842942,0.0
188,10491400.983530499,0.0,19467493.937401112,0.0,2893595.302414974,0.0,857571.3421445029,591.6582512351467,17996038.501036778,0.0,0.0,7266152.12977769,0.0,2254007.9296454783,11222.718945900175,9008096.562134583,5160.572121968605,0.0,0.0,0.0,0.0,3157.8632173023248,0.0,24288439.16275843,32087498.439329404,0.0,0.0,0.0
