,2017
0,5291443119.787261
1,565116.6956027136
2,379311978.10301846
3,36219559.86876479
4,2000672824.2773995
5,6208076900.996417
6,1751461686.6358345
7,4001255756.796684
8,4367012653.958975
9,321422.58662939724
10,608847.4501061937
11,4825144545.736696
12,1122898838.9695995
13,1402118633.8910148
14,3956044847.476152
15,131395840.42544009
16,10415370.755104825
17,16487006.064250682
18,7825.596313970133
19,37774981.16093805
20,4781227343.942179
21,483610845.24896836
22,1697698705.3569422
23,12840868.972003924
24,5453914577.024336
25,34758648147.54924
26,6451646003.915554
27,7657148215.568062
28,10855627955.875648
29,288632158.8929497
30,195119129.81352267
31,1897738744.2519803
32,65237101.771326415
33,200405546.13654736
34,492584912.77646554
35,1318782717.0786302
36,54193553.08369302
37,44534425.76989351
38,3886258468.9122396
39,2484472879.750774
40,9189.378885673708
41,436318277.7535761
42,532198086.4986169
43,768187171.3216344
44,4636973369.786092
45,398646251.21519876
46,230907575.65655607
47,1228240890.9787836
48,1073348810.7885607
49,355341507.1352189
50,42108775.27248097
51,2692957829.4632225
52,1513544730.9633949
53,233791.34446733043
54,2465474812.522683
55,490308125.5762373
56,835490427.8039273
57,12175710.916775716
58,445164419.1903191
59,2036321.0872682703
60,2686815.108926925
61,807349218.080657
62,5030025.7314876765
63,148739812.48470536
64,2640111.4703984167
65,1157074.1765597712
66,4264167.636642773
67,75124292.28349534
68,99366044.95619752
69,8846259.22055525
70,0.0
71,992103.0526171303
72,1488232.2673182194
73,190930.08540715027
74,140986051.65556264
75,114831589.97032791
76,2615217.8744717613
77,564573.6726892893
78,819509678.3992978
79,204165413.90447223
80,1481696989.425027
81,12372767154.037477
82,1336361732.8621867
83,1155582051.5736458
84,667776253.5400914
85,0.0
86,286217325.3947607
87,26535765408.817562
88,292370.9023089236
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,78822271.49568987
96,483.48282265257285
97,0.0
98,13428359929.370752
99,3392712705.913697
100,2639629428.8618855
101,3211626652.195475
102,2319719678.4664946
103,494854921.28737587
104,8900886356.98823
105,14081488577.4097
106,39792.37854923676
107,2746527639.184841
108,92764457277.66635
109,10257571957.573177
110,10743172187.866568
111,0.0
112,0.0
113,116421146.4491411
114,134871767.78204095
115,75990264.07839224
116,184658662.251332
117,1059282263.0561869
118,14345.585250795506
119,626018224.8455756
120,247273062.60577983
121,121861565.54106356
122,126998777.14493047
123,1977043499.7457776
124,5225364.799359827
125,18338125461.547264
126,4151172883.042936
127,898050219.2186412
128,1657035393.2480457
129,1682579873.5314186
130,5021406974.469999
131,1977134394.6917543
132,117369669.01822273
133,3252932744.378198
134,28139495756.98474
135,1568876.7695759775
136,109147089.18316343
137,10949.201188114392
138,814013426.1914523
139,877610180.5390882
140,7705673201.717748
141,911102905.472397
142,343684165.1691574
143,289382782.00373167
144,281954953.4118387
145,434254022.89142865
146,39113612.821804404
147,2382128.636400521
148,6064781.909884458
149,5213764.534625019
150,1377819.5318485647
151,235578005.52746242
152,1772737951.59359
153,160300686.13361174
154,124286197.51856686
155,13098801.671049364
156,70797905.04839149
157,13690912.210378747
158,262698496.2263417
159,21006032.267938618
160,49856.07634355066
161,95137822.15437329
162,71820239.6339549
163,8471289.554395415
164,18091199.054502558
165,59066472.809220046
166,367691007.86454445
167,313494776.1878116
168,419189366.5463685
169,176225962.77143368
170,119750743.55065513
171,29097695400.7553
172,97184755.60209809
173,168453694.2004663
174,935438.6964288112
175,357329696.4502187
176,101694.38867896357
177,917726317.3175595
178,596880.4867338454
179,50460274.75445652
180,62214592.52106921
181,6286241.902689483
182,133734499.81307498
183,43746481.207525894
184,231503.7626186941
185,365180433.2695048
186,821279427.0002344
187,43907226.77366259
188,66012625.02306115
189,5716.023351559691
190,68053966.3173799
191,54441707.18351596
192,0.0
193,116897661.95294885
194,207400.24913416282
195,69884.26131966688
196,56336055.37099288
197,373469578.2470822
198,784169097.3229138
199,295781678.30050784
200,77612245.3775097
201,0.0
202,1343684964.3725896
203,147519096.249214
204,582290.6860678826
205,1681046.5624867724
206,75598157.46978168
207,7083.743767943118
208,48728863.774188906
209,7281556.362156598
210,529922.2082570771
211,2898861929.054873
212,835944893.7985855
213,98402910.57861564
214,62765888.8862693
215,253857907.07159024
216,12153.783538640819
217,1324972582.4963865
218,1950.8570249417378
219,3363.5665266533147
220,19044021564.523354
221,0.0
222,8150174393.03996
223,234109477.01731694
224,548366059.7377555
225,306874542.4178685
226,312729822.85576564
227,363373.7567781883
228,153794.79938946737
229,3001.8541192492044
230,6838.092302058778
231,4380.371800609478
232,1255.5786944450356
233,42946.455899295506
234,35699879.58938511
235,7196742.18334638
236,1519.8217919915967
237,21200.11186576817
238,821348.2205998722
239,2026.3428163729145
240,0.0
241,1521356.634938618
242,4199659.062203951
243,150633.89520055667
244,0.0
245,16328709331.997149
246,4785987.645108502
247,2568378.301547991
248,1566160.4952982832
249,167099.8673855572
250,0.0
251,207138.59763719531
252,162165.15217777315
253,258676.89739670866
254,13891465.741353678
255,273320.56670293736
256,26878047.339367487
257,48750818.08796001
258,11956397.71012999
259,2284759.1429598914
260,8688471.797914578
261,570510679.0473783
262,165496.32545467827
263,397670.9128741516
264,12933184.600622412
