,2016
0,5240326241.377156
1,564938.1052744458
2,370339927.5705547
3,36116646.69328381
4,2000468321.7904491
5,6156733848.542661
6,1748283261.3495333
7,3991228474.045198
8,4299291679.246804
9,321375.7230789127
10,586844.5793362411
11,4791067423.035371
12,1101016215.9530363
13,1397042870.5866842
14,3932389892.358273
15,131329029.37441227
16,10410334.272787621
17,16423264.452387348
18,7825.596313970133
19,37463396.86959758
20,4780126539.919028
21,487809665.3053423
22,1668006605.6955354
23,12848405.941835215
24,5454458283.421085
25,34876139819.45947
26,6436938413.641323
27,7490347271.508143
28,10997390585.622227
29,288649508.54311806
30,195165809.95082065
31,1890284098.5928292
32,65401261.937165186
33,200474794.82952857
34,494465384.0761699
35,1315480258.024582
36,54385210.69480783
37,44505054.06526095
38,3890297545.2721796
39,2488756263.2128377
40,9189.378885673708
41,433075412.08475524
42,521599483.17263013
43,765213439.4087774
44,4538726993.013645
45,398208500.07940394
46,230958014.71054742
47,1204820393.551699
48,1073770707.000886
49,357734616.7534865
50,42213094.301958784
51,2591977815.3044786
52,1513637021.8219337
53,233791.34446733043
54,2410220087.5817757
55,487023077.7852419
56,816602489.7924987
57,11996381.078918934
58,445185169.4600894
59,2037646.066180509
60,2684352.344765738
61,809053215.5523192
62,5053050.020809289
63,148882692.3636588
64,2649528.0870949216
65,1149578.9855978242
66,4282337.427490938
67,75146986.94537559
68,101334930.46108493
69,8846259.22055525
70,0.0
71,994378.0294714845
72,1488852.5396065665
73,190930.08540715027
74,141260813.3972491
75,114920520.41318066
76,2618913.916208326
77,593007.8395750215
78,804510742.2142618
79,205221466.57389814
80,1478553420.1756566
81,12393817794.218906
82,1334198192.3895283
83,1154896426.0108972
84,660583698.0273314
85,0.0
86,286934418.96451277
87,26564728186.282227
88,292370.9023089236
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,76816068.74001832
96,483.48282265257285
97,0.0
98,13312990531.331806
99,3391826628.8814683
100,2587920308.9416575
101,3263633539.305906
102,2319654231.7181263
103,494869685.32868665
104,8905719916.130451
105,14118585757.335524
106,39792.37854923676
107,2766908793.694561
108,92879409803.89487
109,10239479706.665337
110,10793261802.828627
111,0.0
112,0.0
113,116458419.31610659
114,135085838.2197834
115,76030251.2246811
116,183970288.0068795
117,1058106291.2840896
118,14345.585250795506
119,624198122.1708102
120,247207914.15645358
121,121991655.97883996
122,127100485.3866684
123,1977700181.5990722
124,5212910.274961628
125,18318470412.733097
126,4154848763.040376
127,912557804.0551151
128,1653898085.5064871
129,1674766599.7702854
130,5036551036.003458
131,1980250283.6758583
132,117356812.75058663
133,3282103728.5010056
134,28259102574.06294
135,1578941.686419057
136,109204723.24641523
137,10949.201188114392
138,790977645.5441759
139,876999582.9627131
140,7704950332.188687
141,911213303.2376921
142,343630167.01455855
143,289243189.62307465
144,281349123.8995778
145,434391063.19262844
146,39162630.055640094
147,2389061.352680497
148,6081196.751641185
149,5220467.197984142
150,1377724.5053584115
151,235430842.8902604
152,1771510465.5592573
153,160216379.29978374
154,124304994.2434974
155,13125186.986339813
156,70850412.3667169
157,13796333.267362759
158,262651969.6182917
159,20969714.995411653
160,50984.497115203
161,95139312.16892749
162,71821271.81118506
163,8493128.192749524
164,18081751.983576197
165,59083901.61970559
166,367651194.4934868
167,313808228.0469354
168,419108232.261997
169,176013281.50841042
170,119966229.21260513
171,29093842145.43871
172,97269784.45503312
173,168365723.67369813
174,935438.6964288112
175,357492388.6446431
176,101694.38867896357
177,919494285.6480823
178,596880.4867338454
179,50449780.4443436
180,62212808.09954317
181,6214596.40406052
182,133718508.98157933
183,43746481.207525894
184,231535.0295617194
185,365230006.46222144
186,822272266.3336313
187,43916604.9596118
188,66020939.9702918
189,5716.023351559691
190,68041486.89638473
191,54995415.27572747
192,0.0
193,117146863.15866557
194,209889.7468434517
195,69884.26131966688
196,56370949.20649552
197,372832502.1631302
198,784943576.6970884
199,301831825.59972674
200,77731103.15721026
201,0.0
202,1344021407.7799559
203,147995541.2424446
204,582772.4748867099
205,1686093.3433942958
206,75602646.91377345
207,7083.743767943118
208,48749397.04562063
209,7282768.630867441
210,529163.4549091266
211,2898099745.4123597
212,836058362.2613125
213,98421861.87418757
214,62798980.54026751
215,254067965.87517804
216,12153.783538640819
217,1325611431.256131
218,1950.8570249417378
219,3363.5665266533147
220,19016004464.70685
221,0.0
222,8184270827.60933
223,234488088.28002962
224,550390748.4298958
225,307225029.686031
226,313407306.0175116
227,363817.36948340276
228,154052.06459573386
229,2869.6933309027386
230,6933.065472820339
231,4380.371800609478
232,1255.5786944450356
233,42227.41875183366
234,35704747.15105046
235,7196697.405420353
236,1519.8217919915967
237,21200.11186576817
238,825491.3871636349
239,2026.3428163729145
240,0.0
241,1538838.056096084
242,4199658.995980423
243,148731.16746770736
244,0.0
245,16353490961.623451
246,4761638.683592252
247,2581581.2966452898
248,1567628.3215100947
249,168260.93257365905
250,0.0
251,207138.59763719531
252,162165.15217777315
253,258676.89739670866
254,13890935.305741725
255,273469.50501934765
256,26877907.301316977
257,49172354.859313436
258,11946231.317700595
259,2284367.5183277265
260,8704958.141171087
261,571575860.4123015
262,167165.756996028
263,397374.5448803568
264,12962201.228718555
