,2001
0,5319092533.610495
1,510323.5025285624
2,369486679.3487223
3,33958722.23403639
4,2002797541.12204
5,6322663135.4251795
6,1736639230.9001234
7,4027026051.6483903
8,4926084484.273911
9,384707.61146028514
10,741394.5110014493
11,4742558387.600791
12,1127363241.3267841
13,1384143555.5055778
14,3899210669.920069
15,133447123.92884189
16,10416287.707131062
17,16770485.150343975
18,7825.596313970133
19,37183342.140313454
20,3770838473.0327296
21,429356224.804475
22,1720183335.3411303
23,10828892.609369941
24,5197880094.101593
25,35246223386.36484
26,6334077426.973332
27,7938441234.759694
28,11210764610.304068
29,286720587.8683035
30,195779528.97126326
31,1887307061.7592523
32,63683759.09083734
33,202086366.61076957
34,490650008.8068956
35,1307724569.417133
36,57524619.18365704
37,44764814.378145866
38,3927566139.6489496
39,2474890617.870087
40,9189.378885673708
41,442052090.7029585
42,550358825.9362894
43,765173735.5395255
44,4632592870.652724
45,396861191.46080214
46,233115662.17265123
47,1227841876.82484
48,1090798908.318612
49,351627451.1964936
50,42017195.88610459
51,2746394569.2423778
52,1533146585.480181
53,237119.8916112632
54,2492222436.509558
55,507515020.8815018
56,815710328.617162
57,10830940.092713952
58,431386195.53899515
59,2169280.60693506
60,2835321.0428814213
61,821044227.7688403
62,4347230.810289288
63,149898366.4065833
64,2446439.4120387915
65,1028846.966279556
66,4460404.529053134
67,76010628.02962172
68,105915305.36558115
69,8774931.263319831
70,947.5291704446374
71,1131211.4608687875
72,1582668.393312736
73,195094.29699142216
74,146081596.9755744
75,112829185.59582789
76,2695199.618702
77,651114.2862969931
78,754376943.0920646
79,201924180.6740929
80,1488823107.207075
81,12697859399.276453
82,1357461790.5963395
83,1192551044.2180796
84,623707339.9005897
85,0.0
86,294826201.8821438
87,26925609307.28463
88,302141.5793665203
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,84879957.87276421
96,483.48282265257285
97,0.0
98,12589224558.959118
99,3395219969.906828
100,2285262386.341671
101,3570438765.118986
102,2327172660.884364
103,473579451.31719285
104,8849649014.476868
105,13759611671.447613
106,39792.37854923676
107,2712237844.1563864
108,94679063902.8088
109,10437226383.352661
110,11125386528.451569
111,0.0
112,0.0
113,116055557.88801132
114,138362088.42875537
115,76266419.80206756
116,183481889.8992467
117,1036263408.1787559
118,14641.565675529588
119,625489820.4210085
120,251084205.43436486
121,148385801.9311971
122,128097154.52514057
123,1994836374.5933788
124,5126725.7129135765
125,18353146331.97014
126,4285042916.9609346
127,978833319.2648065
128,1781730772.7199788
129,1731883757.4469242
130,5296665074.852521
131,2075630188.4185007
132,116866467.72180268
133,3176321380.8516097
134,29009547174.189716
135,1969796.896007813
136,109110852.46480726
137,26427.115150044956
138,808040667.8130589
139,871894111.4587328
140,7745503360.163716
141,909626497.2132375
142,346026651.24340326
143,286750527.12796116
144,282167925.66577667
145,437706155.2511242
146,39361785.236777216
147,2572000.952864933
148,6223128.032691402
149,16853917.279842045
150,1407855.5377368734
151,236221069.29789183
152,1774838549.2857897
153,161559075.60687992
154,124031367.74077876
155,13271820.345255628
156,77220417.00682533
157,14973763.204397613
158,264692893.47297817
159,21297007.75025351
160,64179.84994231499
161,95054748.26079932
162,71868723.53263886
163,8543409.697861563
164,18451719.705646455
165,59484441.14760368
166,369277712.69619113
167,316409139.87090385
168,421262384.3934307
169,174743028.97884756
170,121672031.66013421
171,29490698278.273884
172,98737849.65978703
173,165797364.44063404
174,924760.076094479
175,365377294.7084629
176,112476.19366587029
177,937354295.752341
178,582742.9631304821
179,50114465.9569722
180,63488546.76303456
181,6286701.864568213
182,132536102.98863804
183,44290459.890545785
184,237633.10431982993
185,367682267.28339654
186,834944689.5692217
187,45111097.889136896
188,67418300.57412095
189,27566.211114370675
190,65925399.85195195
191,55755998.164171875
192,0.0
193,116633895.03429757
194,219945.97288855538
195,71040.52801755338
196,57998503.934568845
197,372776083.23642725
198,791361919.0114417
199,317547867.59876823
200,77109780.22198689
201,269.75108447470586
202,1357107199.980079
203,147469497.04969198
204,581170.9157965217
205,1702330.9462274844
206,74487389.48721267
207,8305.987471055774
208,50353737.12539365
209,7544524.434155928
210,583186.0475139199
211,2919254560.1011653
212,848769439.0560169
213,103261634.88102153
214,64872351.79128637
215,263998688.5304815
216,11778.916855067684
217,1337855970.2659075
218,1950.8570249417378
219,3363.5665266533147
220,19058257262.39758
221,0.0
222,7765795922.941706
223,202456741.16660875
224,528796257.4639582
225,302701337.9216538
226,316654554.5042948
227,374217.9123673275
228,179870.40015475673
229,10038.990304739646
230,8405.152165236575
231,4569.011451011572
232,1490.6020845941873
233,244730.1906855952
234,35356108.3610341
235,6966504.329256281
236,3172.551065195686
237,21200.11186576817
238,757091.1071612464
239,2451.698193815677
240,0.0
241,1439330.1052363273
242,4092605.5845513414
243,210019.89995345252
244,0.0
245,16597841926.919628
246,4161884.9915468004
247,2599955.002781168
248,1571470.9200802958
249,159190.69745802868
250,18.12577788206501
251,244511.58366002777
252,176082.42500799496
253,270610.38600732794
254,13699958.72349751
255,283179.9101041933
256,26906672.701181088
257,49024587.39516108
258,11849874.068908555
259,2291391.126796856
260,8745392.209113654
261,567200145.1973677
262,168988.68361973242
263,410169.9173598035
264,14603709.87334791
