GID,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
96,Bermuda (U.K.),483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,483.482822652572,,
97,Baker Island (U.S.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
98,Colombia,12589224558.9591,13219281228.1936,13456471753.2238,13428933438.8116,13383599268.7811,13399650257.5074,13423135412.313,13306930085.0452,13424720061.0257,13438046722.1064,13326776761.6466,13357643563.2706,13104766024.9155,13344761053.8651,13429136887.7939,13312990531.3318,13428359929.3707,13262373091.6034,,
99,Guyana,3395219969.90682,3405341893.41428,3405561617.73462,3392408892.7013,3392948631.98421,3393087754.36193,3391291077.43239,3393444590.58374,3391330167.96523,3390492229.64671,3390902157.25877,3389497191.25875,3392731528.91192,3392436543.88277,3391735447.47933,3391826628.88146,3392712705.91369,3392554698.87888,,
100,Ecuador,2285262386.34167,2338272405.05052,2511644993.28084,2556105456.80613,2564949813.85247,2557155832.39117,2476332711.20837,2554386254.09651,2562438229.39188,2462308858.5882,2588583851.72374,2592512647.63845,2404395869.82467,2364042956.1913,2546912036.77309,2587920308.94165,2639629428.86188,2494736940.85338,,
101,Paraguay,3570438765.11898,3528848384.07796,3524131234.05152,3535936437.03928,3496788977.90154,3486983724.20903,3420303108.2013,3437714301.27292,3409297103.15195,3341820048.9877,3318189448.60432,3310226445.18441,3288402365.10652,3290439043.61804,3288818440.55232,3263633539.3059,3211626652.19547,3240696218.11155,,
102,Suriname,2327172660.88436,2326703753.18872,2327526058.23387,2321765271.55848,2321378372.79866,2320823939.58333,2319979172.93345,2321213235.72529,2320539556.9722,2317709863.52731,2317654760.91617,2319303377.6291,2319728278.20845,2319673911.13083,2319553324.79649,2319654231.71812,2319719678.46649,2319543278.18621,,
103,Uruguay,473579451.317192,473574438.213653,474236979.565883,478210280.710637,480262794.022639,481604528.048316,485108811.299159,484857593.550055,486041990.80074,487057698.063195,487588736.623354,489980209.108637,490372661.074056,491697972.58618,491542658.961507,494869685.328686,494854921.287375,494325029.520456,,
104,R. B. de Venezuela,8849649014.47686,8943335101.91019,8913900992.51435,8909580515.17776,8905549263.77469,8906379749.57104,8916356913.96836,8912166728.22689,8938426259.59799,8913965280.14193,8895912960.83741,8898370347.94152,8901673143.0282,8903925747.91487,8914179126.80735,8905719916.13045,8900886356.98823,8895327742.85126,,
105,Peru,13759611671.4476,13975646359.4384,14107103756.6133,14083349036.1975,14099744926.2079,14111118296.2349,14077744558.0756,14072764451.376,14039442244.1916,14124412217.0587,14081036519.9102,14108919039.3036,14079477883.6468,14097783261.407,14043633329.4301,14118585757.3355,14081488577.4097,14099749006.5486,,
106,South Georgia and the South Sandwich Islands (U.K.),39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,39792.3785492367,,
107,Chile,2712237844.15638,2754630664.57426,2772587344.45177,2782662180.94073,2784741872.7769,2786338993.31564,2774732481.45907,2782890774.00831,2764076090.35612,2769454374.09097,2760224530.10314,2768558162.00161,2770091851.50715,2773300003.05282,2762790611.83135,2766908793.69456,2746527639.18484,2750793595.70148,,
108,Brazil,94679063902.8088,94396380066.3773,94308479653.516,93163000839.2266,93006268195.9708,93158215478.7868,92770344885.5751,93136002317.9306,93162486375.1929,92583508331.5983,92909201151.2312,92741945136.143,93005968467.2418,92919719890.1556,92749361559.8244,92879409803.8948,92764457277.6663,93018717922.5083,,
109,Bolivia,10437226383.3526,10379303491.3107,10456623861.234,10191223180.1587,10248602479.2197,10272341057.1546,10221508338.5965,10291063972.3939,10307932687.035,10041069411.6175,10224125380.2277,10268668815.5957,10291218690.5711,10283870063.7939,10264682501.659,10239479706.6653,10257571957.5731,10229694097.8311,,
110,Argentina,11125386528.4515,11095862998.5781,11018152324.8412,10968300704.2515,10954667555.9978,10931161437.4383,10893471212.1949,10858229888.4733,10843719321.2683,10769404176.8256,10781518690.1551,10780129543.8401,10752134264.965,10777015819.8608,10771630838.0947,10793261802.8286,10743172187.8665,10777980993.1019,,
111,Heard Island and McDonald Islands (Aus.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
112,Bouvet Island (Nor.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
113,Turkmenistan,116055557.888011,116158857.858687,116265539.895609,116465549.955901,116447947.673523,116481210.890384,116545826.376054,116609909.640119,116644581.344389,116433407.291535,116427292.351764,116481814.213109,116455884.187521,116493233.236532,116383080.781871,116458419.316106,116421146.449141,116390320.893753,,
114,Uzbekistan,138362088.428755,138557783.558817,138906892.721098,138915626.705691,138621209.080501,138492678.301431,138340816.122975,138136654.619939,138360554.025231,135472757.02339,135035218.878843,135518814.481622,135348436.158701,135891490.09883,134768271.787078,135085838.219783,134871767.78204,135347502.76198,,
115,Tajikistan,76266419.8020675,76310883.8836837,76326158.9423812,76376194.8011459,76365940.145078,76394619.939831,76343197.966756,76390671.1738939,76401506.145972,76215088.9007812,76172940.6957828,76127744.824538,76108674.4753622,76085814.4476169,76071484.140182,76030251.2246811,75990264.0783922,76023237.5013881,,
116,Kyrgyz Republic,183481889.899246,184551857.249331,184802254.227441,185514588.435341,185195826.53532,185102931.411226,184775534.812769,184354658.753617,184170536.767318,183340213.187482,183209512.139637,182786550.911523,182032305.66668,182078484.225859,182073789.502886,183970288.006879,184658662.251332,185509030.437308,,
117,Kazakhstan,1036263408.17875,1039047884.23496,1040458698.76122,1047464575.20587,1047696252.54896,1048540789.31599,1049885962.90788,1050518144.41692,1053893755.91919,1053371977.93869,1053743138.17474,1054166840.06209,1054605124.63225,1056475159.65017,1055740450.77657,1058106291.28408,1059282263.05618,1065192557.61971,,
118,"Macau, SAR",14641.5656755295,14527.022822871,14527.022822871,14527.022822871,14500.600750421,14456.5265119864,14412.4488786167,13817.4110191779,13773.3376297337,12032.4294938333,9211.5509119974,12449.8908201441,14345.5852507955,14345.5852507955,14345.5852507955,14345.5852507955,14345.5852507955,14345.5852507955,,
119,Mongolia,625489820.421008,621835935.629789,623694831.265727,623875380.200004,623163387.567585,623113612.793283,622212091.338232,623567574.319163,620991162.702772,623750374.310362,622762150.15302,620786827.524886,618095396.992587,618060759.536418,617704506.667177,624198122.17081,626018224.845575,630378112.608909,,
120,Taiwan,251084205.434364,252072227.589819,253342894.944431,252866011.680527,252547780.075486,251946441.107863,251553923.756298,251151349.945486,251481490.446083,250073360.969052,249808336.47068,247779650.840362,248501902.702066,247336023.920454,247555275.54523,247207914.156453,247273062.605779,245778479.611944,,
121,Republic of Korea,148385801.931197,147960808.195319,146595288.517728,145759452.14121,145208401.978241,144810767.996055,144402247.028749,143755996.848418,143351033.65111,124009925.525213,122891101.921312,122568810.053873,122206211.10376,121767946.879419,121739700.961926,121991655.978839,121861565.541063,121953751.137711,,
122,D. P. R. of Korea,128097154.52514,128188379.80366,128279397.317817,127708946.319476,128051063.635119,128266652.787653,128220503.593266,128083212.057157,127596935.531237,127744463.102011,127320383.480123,127366985.935747,127417655.20199,126665662.590098,126823941.077556,127100485.386668,126998777.14493,126663396.039424,,
123,Japan,1994836374.59337,1994601456.3565,1994295579.92576,1990850382.24253,1989460496.89057,1989120364.2209,1988034764.66706,1987618767.59284,1987319127.01518,1983314855.53464,1981901949.90486,1981433357.45973,1980458103.39006,1978891761.77295,1978504700.38556,1977700181.59907,1977043499.74577,1975625567.52639,,
124,"Hong Kong, SAR",5126725.71291357,5148300.45669607,5185111.80866198,5228916.59359139,5248733.30577021,5238746.70640517,5268292.53884268,5266786.44500365,5235191.35034287,5242593.07710763,5223605.57727449,5221943.15740689,5211970.93083798,5216145.38719382,5222453.45193955,5212910.27496162,5225364.79935982,5218954.50486602,,
125,China,18353146331.9701,18351851414.6228,18338440699.9312,18370958328.2817,18349144502.8142,18363083553.9974,18351922881.3722,18323123751.0031,18310685925.2397,18257672120.5547,18264419135.4628,18221786488.345,18241807613.3964,18238620030.8861,18238267441.7594,18318470412.733,18338125461.5472,18340287075.036,,
126,Myanmar,4285042916.96093,4270741537.30239,4225129729.97269,4184170881.25489,4220677550.90182,4226068465.98734,4178022104.72034,4228255321.59869,4168519632.63828,4071245274.2732,4121343743.96519,4101599732.17686,4119423439.59175,4096871314.24851,4100960458.29412,4154848763.04037,4151172883.04293,4159513512.68819,,
127,Cambodia,978833319.264806,952000291.458958,945163487.715053,926578855.437119,959329196.725348,926207583.803307,925720705.331281,926987787.337222,921784597.95232,923246782.013081,899276017.089459,912045359.27151,904374356.934576,904869361.270147,896231564.456162,912557804.055115,898050219.218641,898989294.506375,,
128,Vietnam,1781730772.71997,1771662557.35415,1767935128.79142,1764564263.3428,1763273335.07624,1760866590.81132,1760950637.44815,1765093536.21829,1759090540.28746,1655160078.05938,1644028475.178,1646072564.74547,1651800308.88855,1645240640.75074,1646286214.15097,1653898085.50648,1657035393.24804,1654722275.42299,,
129,Lao People's Democratic Republic,1731883757.44692,1718480961.51174,1713472875.80956,1693166745.67018,1700824596.68962,1704515539.35009,1681706363.56386,1697422832.38191,1688433644.04109,1673460663.11791,1686040639.37884,1682509279.85871,1680033012.37979,1678891928.64955,1679636554.34056,1674766599.77028,1682579873.53141,1677579854.65072,,
130,Malaysia,5296665074.85252,5329516823.69792,5333171729.3428,5330406499.98641,5321135765.52308,5314034825.8497,5304814069.2034,5292217162.16419,5280919462.80786,5101718918.29358,5086566532.11571,5084736386.11165,5082101754.83391,5061394873.49036,5061797686.33945,5036551036.00345,5021406974.46999,5010517072.3899,,
131,Thailand,2075630188.4185,2064081813.84996,2062327107.93095,2043190064.36334,2052351914.49753,2057986008.09048,2043547562.52361,2057896943.25018,2053358082.58796,1959108835.9744,1966320974.71614,1959248361.893,1971174148.90264,1965448365.0956,1968394773.44592,1980250283.67585,1977134394.69175,1985997033.87146,,
132,Brunei Darussalam,116866467.721802,117011438.725139,117316672.559413,117534210.89394,117508783.363671,117511516.612882,117615395.735216,117642255.034646,117650640.855553,117071255.367378,117377668.064785,117365421.485006,117486449.108887,117414873.25682,117404399.995382,117356812.750586,117369669.018222,117263814.402925,,
133,Philippines,3176321380.8516,3252298810.15096,3269069835.02214,3270854994.46942,3273311678.74498,3267840175.20399,3278582267.5426,3266297411.86141,3283440870.18937,3268130878.93424,3231239843.67068,3256338848.81404,3267143436.26471,3277784656.22206,3283443564.37574,3282103728.501,3252932744.37819,3274840328.63319,,
134,Indonesia,29009547174.1897,29630384702.1241,29683555660.2183,29658194547.4344,29482497146.0656,29458029794.6624,29388619360.1491,29239022990.3603,29329072010.6744,28462161950.0169,28361919298.4246,28364174393.6545,28376008000.9975,28445762186.1019,28406177161.6842,28259102574.0629,28139495756.9847,28189968150.9958,,
135,Singapore,1969796.89600781,1873295.58834631,1843955.17805405,1839539.75124291,1784561.9428239,1753892.18686214,1720231.54552491,1705608.89605259,1692220.37522514,1639569.7660034,1619819.86383504,1624994.02169014,1604721.65608162,1582170.18807008,1577090.30059483,1578941.68641905,1568876.76957597,1561280.57775145,,
136,Timor-Leste,109110852.464807,109017494.417411,109419580.516002,109385313.03895,109401632.066398,109182710.995912,109326924.722553,109334008.822706,109461451.711684,109209341.735518,109107671.587959,109061462.723687,109177363.696964,109094703.509787,109141560.765907,109204723.246415,109147089.183163,109559339.618439,,
137,Maldives,26427.1151500449,26427.1151500449,26427.1151500449,26427.1151500449,26427.1151500449,26427.1151500449,26427.1151500449,26427.1151500449,26427.1151500449,10901.8350602986,10759.3277871079,10901.7153351117,10949.2011881143,10996.6871789673,10996.6871789673,10949.2011881143,10949.2011881143,10901.715101016,,
138,Nepal,808040667.813058,812210723.60221,806314159.717178,805719021.001559,807451461.822231,810658125.503146,812226840.780973,809003521.737604,806161969.430894,803391960.421285,809135041.78535,805051584.590535,801011757.066636,801994124.628739,813036467.25306,790977645.544175,814013426.191452,813123722.780897,,
139,Pakistan,871894111.458732,871634521.557618,871948433.656669,874101335.771511,874527554.414631,875066624.977698,877465194.02281,878609993.373347,878424254.686407,877993889.323938,877517256.480019,876987742.563448,877317924.135119,876510114.703597,876680080.073282,876999582.962713,877610180.539088,877170560.727969,,
140,India,7745503360.16371,7747479521.81012,7727490451.88675,7716710669.72127,7739871627.29776,7741305254.1855,7721978440.66579,7732116019.62508,7673625223.90538,7667735131.61863,7686935331.70398,7642293837.70161,7679742880.85716,7677222135.95713,7688150894.78308,7704950332.18868,7705673201.71774,7708681605.71777,,
141,Islamic Republic of Iran,909626497.213237,909163818.827855,908980302.443316,910466396.929723,910360810.381794,909656543.216803,909772719.001388,910057130.95687,909876938.881819,907813611.47975,908810957.40047,909441747.098139,909656606.462953,910360159.156095,910344526.168564,911213303.237692,911102905.472397,911354899.975205,,
142,Sri Lanka,346026651.243403,344635820.659935,343932276.036323,343603520.38199,343539432.809781,343216140.917257,343950587.712244,343288081.325273,342605695.100653,341990924.378967,340739076.197414,341038375.111186,340833428.004647,341393415.496175,341262871.835726,343630167.014558,343684165.169157,342600169.318658,,
143,Bhutan,286750527.127961,287418029.717944,287972363.429352,288429985.351652,288664982.375764,288819033.932818,288359900.418281,289100900.489674,289036665.847095,288735772.746218,288985871.502869,288380684.837296,289161711.538128,288831731.266961,288820238.741681,289243189.623074,289382782.003731,289467027.863608,,
144,Bangladesh,282167925.665776,280906564.085865,283557053.135726,284261969.099755,282087931.931929,279965968.98464,281901635.439327,281055552.72999,280422724.236519,278383465.632885,277274060.800721,280301432.904327,279484485.872487,279347072.921016,280289552.355879,281349123.899577,281954953.411838,282671071.791449,,
145,Afghanistan,437706155.251124,436390960.446378,434348001.899068,434013286.701223,434039262.153849,433661295.112232,433878703.001216,434103197.816804,434601946.026067,434363494.995265,434526648.224942,434509684.235573,434464865.802298,434409435.196732,434373092.112969,434391063.192628,434254022.891428,434032394.000513,,
146,Oman,39361785.2367772,39355756.4245764,39349309.8298007,39362044.1979472,39351872.7864757,39344139.4182644,39354229.8281341,39348304.8013066,39337169.4952761,39223551.1653892,39233037.3863223,39225135.7692864,39203427.3028758,39199427.9570059,39158512.8380056,39162630.05564,39113612.8218044,39111527.1040518,,
147,Kuwait,2572000.95286493,2535042.7649682,2524897.40806406,2522153.58038652,2501769.50645321,2489391.19485161,2478654.55593306,2474533.41639638,2471151.46023794,2414732.92430818,2412380.86324166,2407770.44733032,2404951.28490267,2402716.3794316,2395425.85711127,2389061.35268049,2382128.63640052,2380765.12025787,,
148,West Bank and Gaza,6223128.0326914,6219885.76932572,6216171.11587532,6210327.56491452,6206209.68312484,6201235.25162733,6192449.54345798,6181291.08401598,6174338.49954262,6159653.591266,6152957.09411249,6146729.85589812,6129641.48149536,6092611.68947232,6079530.13807792,6081196.75164118,6064781.90988445,6043786.20568679,,
149,Lebanon,16853917.279842,16848584.9189721,16825104.3821099,16806522.8207646,16767063.3115307,16765015.5623975,16748749.0166408,16780608.7357974,16783941.8988479,5228410.64923979,5231133.59806819,5233962.98874564,5228329.57522664,5220754.00327343,5214960.60268456,5220467.19798414,5213764.53462501,5212292.80321124,,
150,Qatar,1407855.53773687,1412711.04463386,1412055.69463671,1408434.11030092,1408996.46815864,1407757.64306764,1405583.12667086,1404672.12202168,1403417.44259942,1383551.58690599,1382795.10614212,1381848.40205896,1380522.58713217,1378945.54429466,1378852.71604287,1377724.50535841,1377819.53184856,1377570.15911276,,
151,Saudi Arabia,236221069.297891,236010384.456896,235925373.249912,236232965.988195,235643863.341219,235277579.425469,235370662.456747,235218080.94333,235193394.534309,234979783.622718,234992774.793117,234959069.059505,235078379.101883,235251053.906525,235236321.808082,235430842.89026,235578005.527462,235769285.278357,,
152,Turkey,1774838549.28578,1773082596.61123,1772872126.2756,1772113176.87638,1771551169.76346,1771552777.83186,1771736199.25872,1772715760.37695,1773246778.25075,1771122530.40772,1770339356.94646,1769560122.55413,1768513506.85359,1766312937.20308,1765784500.19879,1771510465.55925,1772737951.59359,1774594039.45087,,
153,Republic of Yemen,161559075.606879,161463144.434059,161141226.538749,161135836.612985,160352131.649796,160292341.24511,160251539.148259,160155941.858996,160110526.979293,160052739.149639,160086578.552157,160061187.824609,160048388.190628,160055193.186394,160044338.074154,160216379.299783,160300686.133611,160502727.261371,,
154,Iraq,124031367.740778,124003508.505974,123988983.514881,124298246.047338,124232212.003857,124439319.705278,124541470.327139,124544297.148215,124628270.285104,124210609.489421,124263897.829681,124329802.976585,124263792.556123,124287654.048365,124204626.085391,124304994.243497,124286197.518566,124234478.711237,,
155,Jordan,13271820.3452556,13264556.1249892,13263093.7275915,13252823.3563274,13245391.6330788,13236100.7576102,13208567.2290883,13190634.2005212,13191578.3432236,13171936.4524781,13168654.2978468,13168940.1577114,13151174.7455656,13130719.8755751,13124167.8462989,13125186.9863398,13098801.6710493,13096729.0526111,,
156,Syrian Arab Republic,77220417.0068253,77190889.5108292,77150373.6224172,77007756.4850479,76950193.3420901,76935824.984379,76868014.0943934,76951876.5364758,77011554.0573191,71052132.5377323,71035032.4436359,70951770.8820812,70906831.1633456,70865807.3606929,70776541.2369134,70850412.3667169,70797905.0483914,70918660.4264572,,
157,Israel,14973763.2043976,14957981.9424042,14946380.8320677,14936934.13617,14925929.8800276,14923054.895123,14909766.8061791,14898879.8526516,14884959.2149169,13919179.1233906,13900667.3322159,13878879.3113634,13825964.3642625,13799113.3580326,13776425.8311477,13796333.2673627,13690912.2103787,13646137.8741291,,
158,Georgia,264692893.472978,264376925.714129,264296856.085927,263740005.095981,263364319.237736,263606517.291116,264254513.365866,264777991.782262,264733380.071076,263891462.274468,263598135.382617,263349050.859967,263353241.096897,262433736.801038,262377655.537347,262651969.618291,262698496.226341,262726371.961184,,
159,Cyprus,21297007.7502535,21295200.8883111,21280825.0821937,21266909.9245847,21261870.0466235,21225420.8345023,21149270.2719564,21176870.7141175,21130467.3637941,21039078.4540783,21057488.3671289,21039536.4150234,21025154.7441045,21013377.2502668,21005397.2567943,20969714.9954116,21006032.2679386,21010379.3364683,,
160,Bahrain,64179.8499423149,60955.1019083373,59553.0266040631,59339.2312216086,58911.8453753598,59469.2660218554,58621.0825507185,59195.6284320227,59144.3544528233,53882.679249452,53814.223534687,53265.2259458779,53873.9357906229,53805.4835088592,53625.7963223266,50984.497115203,49856.0763435506,48659.2282242824,,
161,Azerbaijan,95054748.2607993,94977699.5036143,95010836.0592947,94870249.2320039,94509711.488335,94436950.0424877,94407073.88302,94310931.3381137,94186288.144672,94040946.639873,94023299.2471955,93984738.3398677,93970701.7289426,93887337.0275014,93857119.0852749,95139312.1689274,95137822.1543732,95246650.3875195,,
162,Armenia,71868723.5326388,71720881.626763,71686112.0941546,71639411.4439292,71615772.6897546,71546839.8563191,71620334.3038153,71580738.1386107,71577875.6240739,71454608.267906,71513829.0284779,71462450.1102363,71461098.2085659,71373644.9098457,71334062.4393498,71821271.811185,71820239.6339549,71884073.5993729,,
163,United Arab Emirates,8543409.69786156,8555283.76273481,8554743.70631439,8566309.36296555,8559722.55013698,8557772.08916549,8559404.04823638,8559254.48713109,8563971.00538306,8495933.77424546,8491436.54904063,8495306.35888693,8497155.28589291,8500743.63334679,8493198.08415472,8493128.19274952,8471289.55439541,8466635.92926425,,
164,Moldova,18451719.7056464,18331586.3943611,18202690.385459,18067998.9016366,18065603.7909572,18060029.8784217,18058947.562703,18054535.4764775,18065185.007623,18061861.024124,18054953.1111264,18064454.334437,18059262.2475584,18035817.5777916,18069828.6714706,18081751.9835762,18091199.0545025,18090069.5474914,,
165,Hungary,59484441.1476036,59303472.5272562,59107529.708913,58889544.3823901,58888774.7660756,58886438.4994001,58883713.5030049,58958456.8248478,58985678.1959088,58961946.4186263,58967846.0127865,58944151.7498069,58957741.5923215,58980127.4861209,58986653.2717471,59083901.6197055,59066472.80922,59040659.8794132,,
166,Poland,369277712.696191,368590004.437489,367892640.77895,367104987.352609,366881005.511185,366790735.514982,366544046.11295,366338698.104614,366345964.872702,366001560.224635,365950730.520099,365859859.648294,366054422.188153,366466056.231888,366459726.520446,367651194.493486,367691007.864544,367082066.131222,,
167,Romania,316409139.870903,316236376.595743,316232690.662742,315778710.510769,315865952.931973,316096472.610427,316306743.684412,316586993.887051,316558208.949401,316152986.162629,316210444.734456,315998898.037189,314313927.652152,313971564.405139,313877359.714122,313808228.046935,313494776.187811,313122553.464287,,
168,Ukraine,421262384.39343,419931387.756577,418518190.229921,417183709.284721,416966001.384066,417603427.021515,418076998.775355,418600154.828715,418632013.611825,418439154.747162,418587222.080287,417965215.638228,418460599.834637,418186533.652191,418042430.191377,419108232.261997,419189366.546368,418853826.495353,,
169,Belarus,174743028.978847,174330450.878232,174571598.600497,174815583.510858,174715307.578935,174902672.489384,175153044.772701,175489712.733423,175615992.852361,175491519.363728,175390223.685046,175094531.797199,175308948.178645,175275650.910508,175260842.784057,176013281.50841,176225962.771433,176152254.720265,,
170,Czech Republic,121672031.660134,121444808.161843,121195978.933039,120785940.021876,120676512.789509,120723510.655544,120651897.243321,120424592.425,120379075.341094,120213884.224924,120128913.44116,120055471.839859,120061303.580446,119852602.028135,119867924.409248,119966229.212605,119750743.550655,119368248.450323,,
171,Russian Federation,29490698278.2738,29335283176.2948,29226653676.2496,29335676872.2403,29313870148.543,29493917361.413,29499540250.0784,29462151444.7147,29308675481.7559,29125901704.2248,28945569647.1263,29214492393.9584,29152567452.4355,29122553399.1442,29162696967.9786,29093842145.4387,29097695400.7553,28969953004.9165,,
172,Slovak Republic,98737849.659787,98576316.6486405,98530966.676018,98326054.5934952,98061447.1870241,98118680.4042917,98103776.6994433,98038657.525309,97912036.1453811,97869988.2659607,97709146.1481699,97677103.3924022,97560364.5491668,97262905.7544615,97267051.3105991,97269784.4550331,97184755.602098,96951486.8392141,,
173,Bulgaria,165797364.440634,166000572.53865,166839315.06573,167116309.863529,167175804.688718,167375411.590607,167603243.355056,167997313.373521,168224101.314377,168074325.178746,168243613.765359,168214613.072043,168209020.202699,168283395.02371,168258367.209046,168365723.673698,168453694.200466,168625634.824143,,
174,Isle of Man (U.K.),924760.076094479,930904.090588845,930454.711648143,937909.804872559,937876.274425075,937610.773122898,937582.836692434,936433.243775394,941676.197484522,937507.156970162,936471.392460264,935147.365637561,935274.498198552,935813.996038036,935813.996038036,935438.696428811,935438.696428811,939591.197504884,,
175,Norway,365377294.708462,360745212.272872,357553329.025566,357804139.995607,356755804.785394,363248279.839027,361460545.178983,363914750.022282,354264821.446702,354608677.626732,349008589.208304,356296837.202038,358707993.657041,357698347.17896,357624575.163351,357492388.644643,357329696.450218,356540097.383334,,
176,Guernsey (U.K.),112476.19366587,110115.578244304,106852.156780529,105320.196644499,105289.253954744,103422.487770272,103391.546830877,103391.546830877,102028.479910099,102117.560867037,101209.494442683,102086.464440886,102117.560867037,101694.388678963,101694.388678963,101694.388678963,101694.388678963,101694.388678963,,
177,Sweden,937354295.752341,929938379.015101,923142806.999478,923234212.321373,916796747.644065,928253589.964012,925485724.071659,930100949.061992,907374165.729216,906593122.865145,897237823.508372,914624050.895836,922473516.476002,920703791.949488,920602347.006209,919494285.648082,917726317.317559,910532123.396338,,
178,Faroe Islands (Den.),582742.963130482,598493.866384561,595534.752517582,597443.878688667,599383.495315463,601008.358171571,599083.617775855,599526.704756981,596171.848961598,585335.719955662,585305.72156811,589979.661372578,596283.135728785,596356.999596787,596356.999596787,596880.486733845,596880.486733845,596880.486733845,,
179,Lithuania,50114465.9569722,50108350.5417678,50098803.7022572,50146996.644759,50057136.6975133,50047365.2089429,50065152.2300295,50070838.6966922,50086063.6936215,50047602.2492949,50064276.7561627,50007443.3900175,50104811.6213218,50297514.5798554,50295355.8290286,50449780.4443436,50460274.7544565,50446351.6795991,,
180,Latvia,63488546.7630345,63399656.5015112,63242428.5958294,62975989.9597199,62833998.8574969,62732798.3758571,62586689.4567961,62359889.4921553,62233626.3048443,61814363.3289239,61842505.267266,61794805.7816573,61833074.1874615,62001964.1861692,61997540.7121702,62212808.0995431,62214592.5210692,62154213.9193575,,
181,Svalbard and Jan Mayen (Nor.),6286701.86456821,6286701.86456821,6286701.86456821,6286701.86456821,6286701.86456821,6286701.86456821,6286701.86456821,6286701.86456821,6286701.86456821,6214590.10507573,6214590.10507573,6214590.10507573,6214590.10507573,6214590.10507573,6214590.10507573,6214596.40406052,6286241.90268948,6214596.40406052,,
182,Ireland,132536102.988638,132602505.443803,132642112.256056,132785734.999993,132841003.992565,132878335.456017,132954488.497039,133062451.49441,133325570.007156,133353983.083299,133380771.551689,133419957.386938,133434194.681048,133556233.878142,133556827.818872,133718508.981579,133734499.813074,133801093.751044,,
183,Iceland,44290459.8905457,44290459.8905457,44290326.7181321,44290459.8905457,44290193.5595942,44290326.7320078,44290326.7320078,44290326.7320078,44290459.8905457,44026760.0009069,43999084.6559692,43893588.3188359,43746481.2075258,43746481.2075258,43746481.2075258,43746481.2075258,43746481.2075258,43757666.1882232,,
184,Jersey (U.K.),237633.104319829,236910.644557426,235431.450853451,234170.443908707,233258.260633108,234164.870828478,234164.870828478,233676.8485833,233220.782312487,231991.78030681,231504.440148583,231535.714035997,231535.029561719,231535.029561719,231535.029561719,231535.029561719,231503.762618694,231503.762618694,,
185,United Kingdom,367682267.283396,367337297.256025,367135048.999913,366762924.512835,366632969.449879,366585253.04018,366320528.182298,365989123.083067,365979519.158063,365562862.231581,365473394.681307,365336888.36254,365205487.088687,365468280.453882,365450124.886285,365230006.462221,365180433.269504,365381068.529123,,
186,Finland,834944689.569221,828159023.40129,823907062.570828,824294492.461206,822989440.189134,829477130.276001,828696190.180174,830214843.464115,819030859.602801,812005466.713354,808963254.560766,818732593.885645,824103280.8281,823316590.137857,823302992.007714,822272266.333631,821279427.000234,816806034.211259,,
187,Estonia,45111097.8891368,44996047.4806856,44968504.1842148,44709912.2385746,44614385.7597063,44572165.6215035,44498944.4014349,44385367.5643625,44260838.0173158,43818756.0851057,43848301.982197,43747270.4015975,43790800.6930635,43796018.0530484,43794248.7603461,43916604.9596118,43907226.7736625,43814152.0959663,,
188,Denmark,67418300.5741209,67276311.2690225,67195379.8642349,67151766.9014847,66859784.4377521,66775892.8052732,66581145.0636174,66554481.8277615,66505778.2550212,65795583.9093104,65766902.2783943,65755663.303043,65818615.1819933,65752852.7187016,65749718.9036623,66020939.9702918,66012625.0230611,65928481.4560433,,
189,Madeira Islands (Por.),27566.2111143706,27734.4715525609,27734.518109568,28759.4418572989,28414.3430277756,28334.1605020938,28157.6869700408,28197.7525061165,27435.805911145,5716.02335155969,5716.02335155969,5716.02335155969,5674.81756609159,5707.78214899301,5707.78214899301,5716.02335155969,5716.02335155969,5716.02335155969,,
190,FYR of Macedonia,65925399.8519519,65862211.0925307,66427543.5277568,66720442.5945541,66846595.7579532,67059686.6882991,66953308.3040133,67326580.7587789,67579532.1123041,67562692.1242612,67560494.6058273,67443204.4120945,67581069.9778219,67625473.3200255,67588364.9494364,68041486.8963847,68053966.3173799,68242421.1272341,,
191,Montenegro,55755998.1641718,55739829.8933339,55752415.2168446,55562860.0943673,55450176.1930763,55531480.5091875,55328900.9231436,55583755.6504624,55663628.8509025,55380331.3501927,55237204.6770561,54922665.679185,55050228.1142301,55178458.7289268,55059056.1135591,54995415.2757274,54441707.1835159,54514970.5413231,,
192,Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
