GID,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Gabon,3770838473.03272,4675011656.1441,4779341264.56842,4768071556.06217,4779131354.86721,4780003523.29905,4780016700.30756,4784163166.07744,4778644460.61133,4770131664.86721,4772747011.00112,4750092921.56381,4777933543.38077,4775203157.49829,4778427353.81075,4780126539.91902,4781227343.94217,4786425382.90286,,
21,Equatorial Guinea,429356224.804475,473861787.285522,483204284.127561,484897694.886423,486709520.709056,487822818.653904,487537867.565289,482612586.622095,482203141.95868,477485008.770947,480237742.584888,475815158.350544,482032086.111174,482356185.932863,485854696.247431,487809665.305342,483610845.248968,483512482.394392,,
22,Chad,1720183335.34113,1686432638.18885,1660990958.41478,1667957006.72558,1691821758.63783,1671874579.99646,1661853379.70444,1691972294.65085,1710433122.41367,1685439852.63605,1694625067.82618,1670248138.84001,1698803814.39343,1708392822.45632,1704621745.91394,1668006605.69553,1697698705.35694,1702952687.49134,,
23,SÃ£o TomÃ© and PrÃ­ncipe,10828892.6093699,9803128.45352039,14975462.8338215,12823373.2065053,15125548.9809558,15812556.0365601,13755354.1537535,15103079.5284,14099170.1265685,15042661.5039645,13129701.2204485,10867362.159459,13908571.4145961,12451428.5948646,13958065.7637728,12848405.9418352,12840868.9720039,12925724.3752426,,
24,Congo,5197880094.10159,5403434273.39302,5447523450.60342,5458422352.57397,5445146878.6644,5446103332.36361,5465937124.63941,5491029439.49457,5488004918.49965,5454271822.39428,5440112301.54955,5430543139.40602,5448531785.11696,5473321504.11182,5452488773.50843,5454458283.42108,5453914577.02433,5456306415.90635,,
25,Democratic Republic of Congo,35246223386.3648,35056837049.8894,34857304503.2903,34724444493.1997,34777920087.9854,34710428805.7719,35068778381.9674,34926933352.4758,34943565552.8742,34794944776.6274,34917852710.3845,35022184295.3238,34909785083.5809,34947809979.121,34867179806.9028,34876139819.4594,34758648147.5492,34890588491.3091,,
26,Cameroon,6334077426.97333,6297776133.50815,6200154886.23322,6368548856.28036,6229309158.66776,6352116272.25339,6381400850.62903,6344218381.9095,6376206856.23688,6352640957.3977,6402002156.71098,6421098439.45842,6428342910.48675,6446498742.22946,6474704558.07853,6436938413.64132,6451646003.91555,6459817940.23843,,
27,Central African Republic,7938441234.75969,7670277347.13492,7159269559.29317,7513059736.23166,7367139984.18952,7381911341.80665,7359095583.49846,7283892006.52412,7682593120.37009,7486448316.22049,7407785256.00144,7686473804.30057,7618201589.48854,7689243108.20437,7654283388.88364,7490347271.50814,7657148215.56806,7615129437.31077,,
28,Angola,11210764610.304,11127714000.1175,10903257770.4668,10917367438.7433,10922786107.3697,10951835811.3718,10971820106.8559,10998399313.7866,10974122482.3969,10929043109.6694,10926578552.9482,11017454391.1737,11039798706.5886,11066219204.8722,10999100239.3063,10997390585.6222,10855627955.8756,11234279260.7776,,
29,Morocco,286720587.868303,286833381.462338,286470188.528798,286861202.095072,286660267.495128,286686355.998439,287078642.895072,287395035.862176,288103802.474201,288107320.38133,288148955.069475,287973481.068518,288072880.301557,288260875.482818,288239582.092631,288649508.543118,288632158.892949,289099496.593244,,
30,Libya,195779528.971263,195757136.703554,195753518.453973,195739444.307009,195429728.317432,195373705.434551,195343984.90782,195334869.201066,195304701.799039,195198218.651145,195183779.530095,195193440.276401,195024639.759452,195160132.70951,195150558.984784,195165809.95082,195119129.813522,195184025.633571,,
31,Sudan,1887307061.75925,1865500181.93733,1858549249.04348,1863525611.85544,1865762516.44877,1877860053.00611,1872782124.53441,1876255311.36561,1886825164.13344,1895325019.44739,1884231208.60088,1885162235.87702,1889518436.01895,1901802835.74506,1907191957.70167,1890284098.59282,1897738744.25198,1910957641.6952,,
32,Tunisia,63683759.0908373,63712887.2792945,63687859.9517235,64080904.2721928,64054823.6503131,64144063.5522642,64247960.0006558,65063267.855208,65265446.1358717,65036195.5101685,65102143.9065482,65189930.1908495,65078018.8092037,65068159.4536246,65236816.6290179,65401261.9371651,65237101.7713264,65728960.8364754,,
33,Arab Republic of Egypt,202086366.610769,201911574.361069,201835977.786481,201852511.563706,201739676.673271,201668585.31981,201710459.519067,201470567.716482,201477176.592949,200887822.197918,200877435.239922,200862683.572429,200815854.061839,200616935.373648,200556827.893116,200474794.829528,200405546.136547,200454500.011308,,
34,Algeria,490650008.806895,490356321.495121,489181503.927975,489356129.066228,488398396.524764,489702885.223391,487706553.639428,491247645.02187,493387928.991372,494105943.525204,493619061.078561,491094636.640764,494353378.068077,493358958.9987,493926177.883654,494465384.076169,492584912.776465,495397453.430759,,
35,Namibia,1307724569.41713,1304107708.03004,1301166375.42906,1303866742.90381,1311245650.44452,1312473716.3763,1308838514.8789,1312250342.8459,1314691388.83807,1311893681.43356,1304612234.01782,1301051859.8282,1312658518.80054,1315641642.64482,1318890633.62232,1315480258.02458,1318782717.07863,1326371987.13583,,
