,2010
0,5131003446.139277
1,517375.0463190654
2,365480771.019877
3,35911065.56609449
4,1995705850.5760865
5,6150540246.933354
6,1737593824.1369808
7,4009406395.8152986
8,4462650733.165944
9,324976.0196041993
10,601186.7673027649
11,4677671997.740251
12,1091940167.6693246
13,1366507695.634756
14,3914467050.2641754
15,131079792.06041752
16,10407212.241040671
17,16756165.65459333
18,7825.596313970133
19,37510190.77533785
20,4770131664.867217
21,477485008.770947
22,1685439852.6360595
23,15042661.503964588
24,5454271822.3942795
25,34794944776.62747
26,6352640957.397701
27,7486448316.220493
28,10929043109.669455
29,288107320.3813308
30,195198218.65114513
31,1895325019.4473975
32,65036195.51016854
33,200887822.19791868
34,494105943.5252046
35,1311893681.4335666
36,53593980.05896482
37,44660953.82475633
38,3895653401.2697315
39,2477460245.7064605
40,9189.378885673708
41,432397196.2244063
42,538372355.229672
43,776417773.7751207
44,4558617030.805702
45,396723240.67179185
46,231702204.36444476
47,1222766210.7062385
48,1076940138.8065238
49,358292858.02434343
50,41048306.269182496
51,2727827186.5689974
52,1519644163.420153
53,234886.09310458077
54,2423106879.475817
55,484670066.83043855
56,808690025.9821032
57,12304499.119934646
58,447351723.3653566
59,1919631.9216246316
60,2881003.284253714
61,807182429.9249452
62,5068764.910304654
63,150923801.78352055
64,2711486.7355919397
65,1101505.3333213045
66,4317170.739571179
67,75415930.79958153
68,102553015.13850375
69,8891370.131765613
70,0.0
71,1071093.7428767127
72,1525439.934332344
73,193243.00569298153
74,143660499.95281333
75,116587985.61132726
76,2688816.844383376
77,642188.2719219634
78,778103546.8562897
79,205156068.32264024
80,1478770821.4540908
81,12421747537.897617
82,1350168463.9556942
83,1161380527.2261314
84,644936941.1376457
85,0.0
86,288534456.80407554
87,26697077038.472496
88,294095.33378871845
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,76354329.43013714
96,483.48282265257285
97,0.0
98,13438046722.106441
99,3390492229.64671
100,2462308858.5882025
101,3341820048.987705
102,2317709863.527311
103,487057698.06319577
104,8913965280.141935
105,14124412217.05873
106,39792.37854923676
107,2769454374.0909734
108,92583508331.59833
109,10041069411.617544
110,10769404176.825657
111,0.0
112,0.0
113,116433407.29153542
114,135472757.0233906
115,76215088.90078123
116,183340213.18748224
117,1053371977.9386927
118,12032.42949383334
119,623750374.3103622
120,250073360.9690524
121,124009925.52521317
122,127744463.1020114
123,1983314855.5346446
124,5242593.0771076325
125,18257672120.554752
126,4071245274.2732034
127,923246782.0130813
128,1655160078.0593805
129,1673460663.1179109
130,5101718918.29358
131,1959108835.9744084
132,117071255.36737828
133,3268130878.9342456
134,28462161950.016983
135,1639569.7660034006
136,109209341.73551834
137,10901.835060298694
138,803391960.4212853
139,877993889.3239381
140,7667735131.618636
141,907813611.4797505
142,341990924.3789677
143,288735772.7462183
144,278383465.6328852
145,434363494.99526525
146,39223551.16538922
147,2414732.9243081836
148,6159653.591266002
149,5228410.649239797
150,1383551.586905998
151,234979783.6227186
152,1771122530.4077263
153,160052739.1496393
154,124210609.48942158
155,13171936.45247811
156,71052132.53773235
157,13919179.123390632
158,263891462.27446815
159,21039078.454078324
160,53882.679249452085
161,94040946.63987307
162,71454608.26790605
163,8495933.774245469
164,18061861.02412403
165,58961946.418626316
166,366001560.2246355
167,316152986.1626295
168,418439154.74716246
169,175491519.36372826
170,120213884.22492424
171,29125901704.224865
172,97869988.2659607
173,168074325.1787464
174,937507.1569701623
175,354608677.62673205
176,102117.56086703784
177,906593122.8651458
178,585335.7199556625
179,50047602.24929491
180,61814363.32892395
181,6214590.105075738
182,133353983.08329976
183,44026760.00090699
184,231991.78030681063
185,365562862.23158133
186,812005466.7133543
187,43818756.08510573
188,65795583.909310445
189,5716.023351559691
190,67562692.12426123
191,55380331.35019274
192,0.0
193,117314663.30468825
194,208414.9061340313
195,70854.7394099995
196,57212567.333251365
197,372128736.787905
198,786281224.5350429
199,304480312.7777461
200,77846206.45695484
201,0.0
202,1347021605.4319015
203,147959437.20828027
204,584239.1231650913
205,1709974.1283959155
206,75174204.98996325
207,7083.743767943118
208,48842367.93287988
209,7257450.03794307
210,549287.1609034978
211,2902031076.5115604
212,833420808.6096543
213,99896268.69940935
214,62660147.65722795
215,256608466.9078182
216,12153.783538640819
217,1338776239.7751987
218,1950.8570249417378
219,3363.5665266533147
220,19088415391.887226
221,0.0
222,8266374153.405629
223,233001762.91320905
224,550896468.7115419
225,309040743.94399863
226,317197330.745608
227,364445.6804449979
228,154237.9504127812
229,2804.241035922391
230,6933.065472820339
231,3626.852809227265
232,1208.2916746714081
233,34614.51974068689
234,35698654.36212679
235,7156171.862733073
236,1563.8741290098862
237,21200.11186576817
238,821346.7248656667
239,2451.698193815677
240,0.0
241,1519332.1589597613
242,4189548.4791044565
243,151542.1755460889
244,0.0
245,16215642295.532255
246,4960544.544244092
247,2632789.090866749
248,1576229.6044169532
249,168478.47561254256
250,0.0
251,236381.9582603379
252,176064.48880739274
253,274985.9726332758
254,13836406.529195433
255,276339.6675793428
256,26879551.365814105
257,49198367.44512082
258,11923843.31750498
259,2284080.99937899
260,8730126.722584574
261,568961862.7843277
262,168680.93550093228
263,397420.625448223
264,14166376.971147241
