,2015
0,5215660691.0002165
1,562351.7613312865
2,370964538.5959604
3,35669020.43540482
4,1997153308.0537062
5,6110494468.307739
6,1737449269.3961854
7,3997263461.983025
8,4489211972.6949005
9,321375.7230789127
10,612368.1352946871
11,4726348117.570613
12,1129570745.2343967
13,1371207804.8671274
14,3919948573.0019736
15,131404190.8903632
16,10405407.780977143
17,16496197.954113865
18,7825.596313970133
19,37351951.49952901
20,4778427353.810758
21,485854696.2474319
22,1704621745.9139402
23,13958065.763772843
24,5452488773.508439
25,34867179806.90283
26,6474704558.078537
27,7654283388.883642
28,10999100239.306303
29,288239582.0926315
30,195150558.98478404
31,1907191957.7016766
32,65236816.629017904
33,200556827.89311633
34,493926177.88365483
35,1318890633.6223269
36,54169190.780517474
37,44569653.27201847
38,3889454446.711158
39,2487816301.503186
40,9189.378885673708
41,430082899.4498515
42,534243882.4011833
43,796553487.1006951
44,4591995756.68012
45,397604183.25052506
46,230797114.44201156
47,1235478103.3295934
48,1056203895.4372298
49,347983922.91711366
50,42529135.91053201
51,2753557451.390892
52,1479066801.334735
53,234048.29747562337
54,2457079764.6544437
55,493709746.5805171
56,813272567.3956057
57,12238943.058065675
58,444525255.38274825
59,2051346.0354872255
60,2690116.9672874524
61,808256034.4123015
62,5057816.634151792
63,148985022.5690236
64,2647186.872767311
65,1161808.2859063172
66,4277676.042966008
67,75474868.52195115
68,102208653.7370644
69,8855446.715937983
70,0.0
71,992103.0526171303
72,1488852.5396065665
73,190930.08540715027
74,141605257.4742635
75,114961535.55628306
76,2625009.515524648
77,593007.8395750215
78,794612664.4222
79,204294920.1989951
80,1484004010.3990536
81,12399444063.220943
82,1344680203.397535
83,1158340038.409292
84,656457691.5577143
85,0.0
86,287647243.4707308
87,26558638796.097313
88,295391.5694870964
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,76870519.22495301
96,483.48282265257285
97,0.0
98,13429136887.793903
99,3391735447.4793334
100,2546912036.773097
101,3288818440.5523233
102,2319553324.7964945
103,491542658.9615076
104,8914179126.807354
105,14043633329.430138
106,39792.37854923676
107,2762790611.831352
108,92749361559.82443
109,10264682501.659071
110,10771630838.094711
111,0.0
112,0.0
113,116383080.78187099
114,134768271.78707856
115,76071484.14018206
116,182073789.50288692
117,1055740450.7765793
118,14345.585250795506
119,617704506.6671773
120,247555275.54523072
121,121739700.96192695
122,126823941.07755663
123,1978504700.3855627
124,5222453.451939552
125,18238267441.759403
126,4100960458.294126
127,896231564.4561623
128,1646286214.15097
129,1679636554.3405662
130,5061797686.339453
131,1968394773.4459198
132,117404399.99538258
133,3283443564.3757396
134,28406177161.68421
135,1577090.3005948332
136,109141560.76590699
137,10996.687178967388
138,813036467.25306
139,876680080.0732821
140,7688150894.783085
141,910344526.1685643
142,341262871.8357269
143,288820238.74168193
144,280289552.3558794
145,434373092.1129697
146,39158512.83800564
147,2395425.8571112794
148,6079530.138077921
149,5214960.602684561
150,1378852.716042872
151,235236321.8080826
152,1765784500.198794
153,160044338.0741544
154,124204626.08539127
155,13124167.846298937
156,70776541.23691346
157,13776425.83114779
158,262377655.53734744
159,21005397.256794345
160,53625.79632232667
161,93857119.08527495
162,71334062.43934989
163,8493198.084154729
164,18069828.6714706
165,58986653.27174715
166,366459726.5204468
167,313877359.7141223
168,418042430.1913777
169,175260842.78405753
170,119867924.40924834
171,29162696967.978634
172,97267051.31059916
173,168258367.20904678
174,935813.9960380369
175,357624575.16335166
176,101694.38867896357
177,920602347.0062097
178,596356.9995967873
179,50295355.829028666
180,61997540.71217022
181,6214590.105075738
182,133556827.8188728
183,43746481.207525894
184,231535.0295617194
185,365450124.886285
186,823302992.0077146
187,43794248.76034615
188,65749718.90366237
189,5707.782148993019
190,67588364.94943644
191,55059056.113559134
192,0.0
193,117256505.22623254
194,209889.7468434517
195,69884.26131966688
196,56469435.68716696
197,371197138.1044871
198,783679513.254955
199,301854931.9772736
200,77772701.24476083
201,0.0
202,1340537166.2488778
203,148177940.234726
204,583377.788081986
205,1691913.9079458732
206,74936885.84191923
207,7083.743767943118
208,48746443.33445232
209,7217827.880892954
210,531038.5053313067
211,2897043474.2666054
212,834096960.9823309
213,98459015.21010554
214,62584651.64939656
215,254384147.40858474
216,12153.783538640819
217,1328434931.2421656
218,1950.8570249417378
219,3363.5665266533147
220,19004674169.366394
221,0.0
222,8235378182.7962675
223,234206940.78690097
224,549767196.2437351
225,307502687.6800888
226,314618488.65794283
227,363669.6086795922
228,153786.66623645774
229,3001.8541192492044
230,6743.119067206924
231,4380.371800609478
232,1255.5786944450356
233,40953.612106441215
234,35631212.40305776
235,7200752.346061033
236,1519.8217919915967
237,21200.11186576817
238,825492.2874255829
239,2026.3428163729145
240,0.0
241,1487156.0385385272
242,4201681.457201203
243,150769.2299733836
244,0.0
245,16363157402.595556
246,4811494.554337949
247,2581803.3537043305
248,1570006.0589348886
249,164777.80613561894
250,0.0
251,209878.37658512112
252,162165.15217777315
253,258676.89739670866
254,13817799.10589819
255,273469.50501934765
256,26878484.472539015
257,48867415.85195093
258,11936147.833001047
259,2284166.2808004706
260,8751699.73606991
261,568547893.1643395
262,167165.756996028
263,397109.11422434205
264,14157432.105528468
