,2018
0,5220494039.574641
1,565339.5739377671
2,376592319.1276783
3,36508102.45093737
4,2002978380.5826333
5,6226894491.566745
6,1756511763.0483365
7,4002917197.447912
8,4310010248.428985
9,321375.7230789127
10,623127.4944577531
11,4891057744.97389
12,1154542491.0299733
13,1400149018.9655879
14,3973615655.543504
15,132237357.85621917
16,10474833.888127668
17,16376463.46236754
18,7825.596313970133
19,37735548.904690385
20,4786425382.9028635
21,483512482.39439225
22,1702952687.4913452
23,12925724.375242628
24,5456306415.906353
25,34890588491.309135
26,6459817940.238431
27,7615129437.310777
28,11234279260.777687
29,289099496.5932444
30,195184025.63357118
31,1910957641.6952038
32,65728960.836475484
33,200454500.01130858
34,495397453.4307591
35,1326371987.1358316
36,54228289.643005654
37,44678811.08683671
38,3881700918.229574
39,2491520130.1078568
40,9189.378885673708
41,451133723.50956553
42,539108339.6899366
43,783302546.2107216
44,4718738524.115678
45,401845973.81061566
46,231049227.46318147
47,1242241544.9922028
48,1076237232.959551
49,350940228.13818055
50,42567989.70016699
51,2775510642.484919
52,1550905008.725527
53,233600.277286266
54,2487480707.8118815
55,498255642.7108467
56,851577140.4444543
57,12038734.837596297
58,445050249.3643621
59,2039898.933980568
60,2636134.2558314046
61,808227429.6644338
62,5058713.171991893
63,148513143.0855711
64,2637481.346367661
65,1164294.638494405
66,4293948.215767157
67,75082871.08086644
68,102088325.82197692
69,8846259.22055525
70,0.0
71,994378.0294714845
72,1488232.2673182194
73,190930.08540715027
74,140852687.22499102
75,114764148.07600485
76,2608922.453819923
77,558284.0185015658
78,805329760.6264485
79,204541315.16920897
80,1476833008.1290433
81,12388586036.241915
82,1328611934.8375216
83,1158690430.8764386
84,663183859.8978206
85,0.0
86,286343499.73928225
87,26426468881.917587
88,292963.83644875756
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,76859992.25930278
96,483.48282265257285
97,0.0
98,13262373091.603403
99,3392554698.878881
100,2494736940.8533845
101,3240696218.1115575
102,2319543278.1862135
103,494325029.5204565
104,8895327742.851263
105,14099749006.54868
106,39792.37854923676
107,2750793595.7014885
108,93018717922.50836
109,10229694097.831192
110,10777980993.101934
111,0.0
112,0.0
113,116390320.89375319
114,135347502.76198047
115,76023237.50138812
116,185509030.43730858
117,1065192557.6197152
118,14345.585250795506
119,630378112.6089096
120,245778479.6119449
121,121953751.13771191
122,126663396.039424
123,1975625567.5263982
124,5218954.50486602
125,18340287075.036045
126,4159513512.688191
127,898989294.5063756
128,1654722275.4229965
129,1677579854.650722
130,5010517072.389904
131,1985997033.8714657
132,117263814.4029258
133,3274840328.6331935
134,28189968150.995808
135,1561280.577751456
136,109559339.61843933
137,10901.715101016001
138,813123722.7808971
139,877170560.7279695
140,7708681605.717775
141,911354899.9752058
142,342600169.3186583
143,289467027.8636089
144,282671071.79144955
145,434032394.0005131
146,39111527.10405186
147,2380765.1202578787
148,6043786.205686799
149,5212292.803211245
150,1377570.159112761
151,235769285.27835742
152,1774594039.450872
153,160502727.26137164
154,124234478.71123764
155,13096729.052611196
156,70918660.42645721
157,13646137.874129187
158,262726371.96118495
159,21010379.33646831
160,48659.228224282466
161,95246650.38751954
162,71884073.59937292
163,8466635.929264253
164,18090069.547491398
165,59040659.879413255
166,367082066.13122195
167,313122553.4642875
168,418853826.49535364
169,176152254.72026598
170,119368248.45032392
171,28969953004.91652
172,96951486.83921416
173,168625634.8241436
174,939591.1975048846
175,356540097.383334
176,101694.38867896357
177,910532123.3963387
178,596880.4867338454
179,50446351.67959913
180,62154213.91935752
181,6214596.40406052
182,133801093.75104435
183,43757666.18822322
184,231503.7626186941
185,365381068.5291236
186,816806034.2112592
187,43814152.09596633
188,65928481.45604338
189,5716.023351559691
190,68242421.1272341
191,54514970.5413231
192,0.0
193,116935613.48487902
194,207346.12928388437
195,69884.26131966688
196,56292885.51712482
197,373797378.02884084
198,786053588.2190211
199,304223026.44550633
200,77422955.81764485
201,0.0
202,1347474938.837497
203,147548775.02475446
204,582102.04148314
205,1679188.7405432775
206,76591868.04435806
207,7083.743767943118
208,48716936.85684761
209,7279424.121429982
210,528663.5583634665
211,2899639331.555427
212,834935979.4667193
213,98212483.06724314
214,62764493.887596294
215,253259175.56169927
216,12153.783538640819
217,1325716968.4434557
218,1950.8570249417378
219,3363.5665266533147
220,19024779079.981445
221,0.0
222,8225767131.119152
223,234011815.24796513
224,547182954.0755795
225,306733526.58417857
226,312710620.95366955
227,363577.2069206826
228,153951.89323513236
229,3001.8541192492044
230,6838.092302058778
231,4380.371800609478
232,1255.5786944450356
233,42709.3658570195
234,35733289.65404148
235,7194709.308142832
236,1519.8217919915967
237,21200.11186576817
238,829637.2045795366
239,2026.3428163729145
240,0.0
241,1537939.4647524105
242,4203703.785956264
243,150769.25176972465
244,0.0
245,16304233545.200426
246,4840935.876914993
247,2526100.692728023
248,1568519.656887845
249,165938.87132372078
250,0.0
251,207138.59763719531
252,158183.56325824102
253,258676.89739670866
254,13932006.643939218
255,273344.1343350323
256,26878319.566523787
257,49215177.85410266
258,11953176.743810402
259,2283876.2406582595
260,8578710.773914171
261,568091642.2659353
262,165480.14100059133
263,397670.9128741516
264,12860822.493207088
