1,country,2020
1,Mozambique,5287008951.87269
2,Mauritius,567792.9538601672
3,Malawi,380705726.4488582
4,Rwanda,36623771.03520897
5,Somalia,2009315316.292714
6,Zambia,6211239751.130373
7,Kenya,1760914050.3872614
8,Madagascar,3995977601.644602
9,South Sudan,4325819939.078137
10,Seychelles,385745.4687704869
11,French Southern and Antarctic Lands (Fr.),746541.9245698624
12,Tanzania,4906007292.111342
13,Uganda,1172150588.4975843
14,Zimbabwe,1419436812.7240012
15,Ethiopia,4004481824.4137526
16,Eritrea,136535932.90462798
17,Djibouti,10525948.085868625
18,Comoros,16784878.24361321
19,British Indian Ocean Territory (U.K.),7825.596313972799
20,Burundi,38073820.49492145
21,Gabon,4795805115.939797
22,Equatorial Guinea,491462749.46328956
23,Chad,1720273049.4894311
24,São Tomé and Príncipe,17402696.55937056
25,Congo,5500024627.735681
26,Democratic Republic of Congo,34841427717.82339
27,Cameroon,6429614873.067398
28,Central African Republic,7691299139.587252
29,Angola,11050488998.240702
30,Morocco,289860581.1889922
31,Libya,195288403.04665872
32,Sudan,1924454295.3604317
33,Tunisia,65967052.942841426
34,Arab Republic of Egypt,200952623.89148277
35,Algeria,495003346.92393655
36,Namibia,1322132037.5191407
37,Swaziland,54232475.48984099
38,Lesotho,44902783.41930779
39,South Africa,3881353027.58185
40,Botswana,2497055870.3690014
41,"Saint Helena, Ascension and Tristan da Cunha (U.K.)",9143.683652527163
42,Togo,453052177.33673275
43,Sierra Leone,552372684.3139929
44,Senegal,779184749.5413129
45,Nigeria,4775414508.147253
46,Niger,403472884.88132286
47,Mauritania,231673351.77065665
48,Mali,1233974701.4378788
49,Liberia,1073537324.4147513
50,Guinea-Bissau,359422892.719508
51,The Gambia,43483058.21427175
52,Guinea,2726589021.9289412
53,Ghana,1520881241.7255397
54,Cape Verde,232043.60649727713
55,Côte d'Ivoire,2499148087.0109982
56,Burkina Faso,501858549.0331352
57,Benin,855879374.3171504
58,Dominica,12317598.347830212
59,Dominican Republic,444067210.50740933
60,Cayman Islands (U.K.),2179137.504328143
61,Antigua and Barbuda,2677309.400356323
62,Cuba,818209915.8215352
63,Grenada,5086441.502432384
64,Jamaica,148035280.73289013
65,Saint Kitts and Nevis,2632528.921302842
66,Montserrat (U.K.),1173584.8179781795
67,Turks and Caicos Islands (U.K.),4362094.466259876
68,Trinidad and Tobago,74903751.92288962
69,The Bahamas,106387501.3370391
70,Saint Lucia,8865100.323582996
71,Navassa Island (U.S.),947.5291704446371
72,British Virgin Islands (U.K.),1020564.1862090905
73,Barbados,1488583.624253298
74,Anguilla (U.K.),194453.03364380234
75,Haiti,141211261.86597317
76,Puerto Rico (U.S.),114652550.8577221
77,United States Virgin Islands (U.S.),2645977.027748029
78,Aruba (Neth.),560465.5390347107
79,Panama,928172596.7474853
80,El Salvador,204660011.32685697
81,Nicaragua,1471449962.7522345
82,Mexico,12583721418.747847
83,Honduras,1301560570.905498
84,Guatemala,1153438168.8632019
85,Costa Rica,672344312.5786567
86,Clipperton Island (Fr.),0.0
87,Belize,283419738.67842484
88,United States of America,26276514566
89,Saint-Pierre-et-Miquelon (Fr.),303238.090343559
90,Palmyra Atoll (U.S.),0.0
91,Midway Island,Input shapes do not overlap raster.
92,Kingman Reef (U.S.),0.0
93,Jarvis Island (U.S.),0.0
94,Johnston Atoll (U.S.),0.0
95,Howland Island (U.S.),Input shapes do not overlap raster.
96,Greenland (Den.),53122564.9
97,Bermuda (U.K.),483.48282265257274
98,Baker Island (U.S.),Input shapes do not overlap raster.
99,Colombia,13829618472.681774
100,Guyana,3394779983.878633
101,Ecuador,2806840319.816147
102,Paraguay,3185113429.0933776
103,Suriname,2322813313.9679728
104,Uruguay,497058060.08042204
105,R. B. de Venezuela,8926780671.10898
106,Peru,14203241278.174452
107,South Georgia and the South Sandwich Islands (U.K.),39792.378549224355
108,Chile,2770379377.315099
109,Brazil,92949885529.22285
110,Bolivia,10147249922.245295
111,Argentina,10762171397.014908
112,Heard Island and McDonald Islands (Aus.),0.0
113,Bouvet Island (Nor.),0.0
114,Turkmenistan,116962163.55685829
115,Uzbekistan,138542665.31801334
116,Tajikistan,76824220.26324432
117,Kyrgyz Republic,188050500.23245138
118,Kazakhstan,1074704187.89185
119,"Macau, SAR",14522.170351800823
120,Mongolia,635456612.2454067
121,Taiwan,247557570.54230583
122,Republic of Korea,141312437.1106546
123,D. P. R. of Korea,126514910.04755811
124,Japan,1980491531.4231458
125,"Hong Kong, SAR",5333550.96854263
126,China,18375747186.607784
127,Myanmar,4227839928.2408257
128,Cambodia,919983752.4681357
129,Vietnam,1766383814.4475944
130,Lao People's Democratic Republic,1662691848.672748
131,Malaysia,5129397303.1186905
132,Thailand,2067501548.1116874
133,Brunei Darussalam,117131283.94830206
134,Philippines,3302916357.7162046
135,Indonesia,29002466451.3622
136,Singapore,1534123.5994724715
137,Timor-Leste,109903027.13940687
138,Maldives,26427.11515004994
139,Nepal,817034763.9678469
140,Pakistan,802058511.8263503
141,India,7649076448.536304
142,Islamic Republic of Iran,915298524.2646052
143,Sri Lanka,343564220.9720362
144,Bhutan,289352443.395038
145,Bangladesh,288690359.1954533
146,Afghanistan,435277563.125366
147,Oman,39271761.2855125
148,Kuwait,2416712.0880354233
149,West Bank and Gaza,6047303.5440687165
150,Lebanon,16636163.331760418
151,Qatar,1390757.0302029299
152,Saudi Arabia,236080993.6961851
153,Turkey,1780368280.160429
154,Republic of Yemen,160846777.3849099
155,Iraq,125165985.62236126
156,Jordan,13109218.922714373
