,2013
0,5186572459.017291
1,520007.39807258174
2,371302861.32574177
3,35775314.72335685
4,1996086158.9823751
5,6171390650.034774
6,1739347843.0739822
7,4000204293.5486083
8,4422065674.74674
9,322800.75478314643
10,575539.9870631023
11,4753548464.593365
12,1125876854.7956443
13,1385658292.889522
14,3917998573.133446
15,131263161.43198957
16,10404245.685724484
17,16638895.544867313
18,7825.596313970133
19,37300066.72831319
20,4777933543.380774
21,482032086.1111744
22,1698803814.3934321
23,13908571.414596105
24,5448531785.116963
25,34909785083.580986
26,6428342910.4867525
27,7618201589.4885435
28,11039798706.588614
29,288072880.3015578
30,195024639.75945213
31,1889518436.018952
32,65078018.80920373
33,200815854.06183925
34,494353378.0680777
35,1312658518.8005476
36,53488003.45578675
37,44603758.171348155
38,3891513077.096808
39,2481850081.9348373
40,9189.378885673708
41,436460048.9518643
42,530270767.2794777
43,775512820.5479679
44,4571051426.828534
45,397361474.4984868
46,230693396.39679912
47,1224757442.717684
48,1076148209.97362
49,359544312.64117396
50,42268864.940709084
51,2681412921.487703
52,1471648310.3262014
53,234184.79134740107
54,2381690068.498693
55,486893591.9906215
56,798392977.8398145
57,12066811.453695957
58,446243912.33955055
59,2050556.5546993294
60,2886339.316038866
61,809664187.3714335
62,5061476.908469053
63,150241635.82793137
64,2688586.2357975184
65,1152752.008792857
66,4320224.813571918
67,75768279.94237475
68,101066714.31213826
69,8866329.726373168
70,0.0
71,1024298.095470006
72,1508482.778824037
73,190966.22041448537
74,142848464.45283797
75,116126941.3728326
76,2645869.775781001
77,625163.5594888423
78,801052221.8402152
79,204316576.69099146
80,1479023451.1697967
81,12373174860.02036
82,1342041412.7326653
83,1157170776.416644
84,658011422.194309
85,0.0
86,286545472.6503047
87,26583541859.781322
88,295391.5694870964
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,76890067.30825104
96,483.48282265257285
97,0.0
98,13104766024.915543
99,3392731528.911922
100,2404395869.8246717
101,3288402365.10652
102,2319728278.208455
103,490372661.07405645
104,8901673143.028202
105,14079477883.646898
106,39792.37854923676
107,2770091851.5071554
108,93005968467.24184
109,10291218690.571138
110,10752134264.965094
111,0.0
112,0.0
113,116455884.18752119
114,135348436.15870124
115,76108674.47536221
116,182032305.66668013
117,1054605124.6322575
118,14345.585250795506
119,618095396.9925879
120,248501902.70206615
121,122206211.10376057
122,127417655.2019908
123,1980458103.3900604
124,5211970.930837981
125,18241807613.396465
126,4119423439.591758
127,904374356.9345765
128,1651800308.8885546
129,1680033012.3797958
130,5082101754.833914
131,1971174148.9026444
132,117486449.10888778
133,3267143436.264714
134,28376008000.997513
135,1604721.6560816201
136,109177363.69696464
137,10949.201188114392
138,801011757.0666366
139,877317924.1351193
140,7679742880.857165
141,909656606.462953
142,340833428.0046472
143,289161711.53812885
144,279484485.8724874
145,434464865.8022982
146,39203427.30287586
147,2404951.284902677
148,6129641.481495366
149,5228329.575226648
150,1380522.5871321757
151,235078379.1018832
152,1768513506.8535984
153,160048388.19062835
154,124263792.55612306
155,13151174.745565604
156,70906831.16334563
157,13825964.364262534
158,263353241.09689784
159,21025154.744104523
160,53873.93579062298
161,93970701.7289426
162,71461098.2085659
163,8497155.285892917
164,18059262.247558396
165,58957741.59232155
166,366054422.1881537
167,314313927.652152
168,418460599.83463717
169,175308948.17864564
170,120061303.58044626
171,29152567452.43551
172,97560364.54916689
173,168209020.20269945
174,935274.4981985525
175,358707993.65704113
176,102117.56086703784
177,922473516.4760025
178,596283.1357287854
179,50104811.621321805
180,61833074.187461525
181,6214590.105075738
182,133434194.68104835
183,43746481.207525894
184,231535.0295617194
185,365205487.0886874
186,824103280.8281
187,43790800.69306355
188,65818615.18199337
189,5674.817566091591
190,67581069.9778219
191,55050228.114230156
192,0.0
193,117279200.3358729
194,209858.60596202002
195,70200.90932162295
196,56927427.439827405
197,371729475.7257559
198,785159054.2233925
199,303357603.9712831
200,77821488.33147661
201,0.0
202,1343419271.1312523
203,147918271.48925495
204,584378.100988808
205,1694718.1163428044
206,75060778.42579374
207,7083.743767943118
208,48811413.09428774
209,7220329.144572343
210,548826.85824273
211,2900039697.2464128
212,832718370.3380768
213,99614227.49838488
214,62464540.46187326
215,255727248.9989294
216,12153.783538640819
217,1329402098.9338224
218,1950.8570249417378
219,3363.5665266533147
220,19006733672.860588
221,0.0
222,8132418342.846125
223,233992839.21528536
224,551776699.7000993
225,308678541.6620475
226,318178097.1162701
227,363863.64360735036
228,154247.2658408991
229,2916.9199348832253
230,6838.092302058778
231,3768.159446978745
232,1255.5786944450356
233,42292.30848909789
234,35681294.669955276
235,7190718.173830131
236,1519.8217919915967
237,21200.11186576817
238,829637.1796031395
239,2026.3428163729145
240,0.0
241,1533749.92923201
242,4199659.062203951
243,150497.90401685738
244,0.0
245,16382940291.096348
246,4830289.758397709
247,2595981.9669232937
248,1571956.9439575886
249,166083.9925878831
250,0.0
251,220204.82598109037
252,171431.45924236806
253,264553.077726681
254,13828159.674402341
255,274637.96265000466
256,26878286.17967676
257,49135234.74052978
258,11932274.70357607
259,2283436.356176457
260,8749850.828937221
261,570228274.0817102
262,167254.82391480973
263,397538.0840050753
264,14154734.207577698
